GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRROS,G18USSDTES,G18USSLBRE,G18HALRGIA,G18HALDWIL,G18HALLSWA,G18CSCRGRE,G18CSCDREN,G18CSCLROO
30001000001,30,001,000001,157.6,248.8,11.9,178.4,229,8.9,172.5,195.3,25.8
30001000002,30,001,000002,452.1,233.2,28,494.1,199.2,21,463.1,167.2,38
30001000003,30,001,000003,475.3,250.8,22.2,513.6,223.4,16.2,493.6,188.7,30.4
30001000004,30,001,000004,109,50,9,117,44,6,118,31,10
30001000005,30,001,000005,104.3,28.1,1,106.3,27.1,1,102.3,20.1,5
30001000006,30,001,000006,220.4,208.4,17.5,248.9,183.5,12.9,249.9,135.5,44.3
30001000007,30,001,000007,222.4,92.6,9.2,239.4,84.8,4.9,219.5,76.5,17.1
30001000008,30,001,000008,52.7,13.9,3,54.7,12.9,2,53.7,11.9,2
30001000009,30,001,000009,264,158,11,291,134,8,276,116,25
30001000012,30,001,000012,246.6,232.8,9.9,259.5,222.9,8.9,263.5,184.2,16.8
30001000014,30,001,000014,152.7,191.4,15.2,175,172.1,15.1,171.1,137.5,30.5
30001000017,30,001,000017,79,29.7,4,83.1,27.6,3.1,80,25.5,5.1
30001000019,30,001,000019,81.6,31.2,5,89.6,25.2,5,77.6,20.2,11
30001000020,30,001,000020,71.9,12,5,75.9,10,3,69.9,11,3
30001000021,30,001,000021,95.7,54,2,101.7,48.9,2,99.7,38,7.9
30001000023,30,001,000023,79.4,40.9,1,83.3,36,3.9,77.5,34,4.8
30003000001,30,003,000001,73.8,57.3,2.7,72.9,56.5,4.3,69.1,50.9,8.2
30003000002,30,003,000002,43.7,65.4,1.9,45.6,62.5,3.8,45.6,56.9,4.7
30003000003,30,003,000003,97,29,7,105,29,2,99,24,4
30003000004,30,003,000004,61.7,34.5,0.7,69.2,28.6,1.9,68,25,1.2
30003000005,30,003,000005,41.2,164,1.1,44.3,157.4,4.6,38.7,157.2,5
30003000006,30,003,000006,41.5,16.8,3,42.5,16.8,2,41.5,10.9,6.9
30003000007,30,003,000007,97.4,740.9,9.9,119.3,713.8,11.2,101.1,703,28.9
30003000008,30,003,000008,75.3,74.9,0.1,75.4,70.1,3,73.4,68,4
30003000009,30,003,000009,28.5,146,2,35.5,139.9,3,33.5,135.9,6.1
30003000010,30,003,000010,44,22.1,5,47,22.9,1.1,44.9,15.9,4.1
30003000014,30,003,000014,47.2,132.3,2,49.2,129.2,3,45.2,125.4,7.9
30003000015,30,003,000015,78.6,208.1,5.8,95.1,191.4,6,86.3,187.4,14.7
30003000017,30,003,000017,180,218.3,12.8,195.6,199.2,16.4,182.2,183.2,22.8
30003000018,30,003,000018,158,152,9,174,139,7,171,111,22
30003000019,30,003,000019,188.4,233.8,15.8,204.1,209.7,20.4,197.6,193.9,28.8
30003000021,30,003,000021,83.7,319.3,3.2,92.9,312,4.3,80.8,304.8,10.2
30003000025,30,003,000025,50.6,99.3,1.9,54.4,92.6,3.9,48.6,97.2,2.1
30003000026,30,003,000026,48.5,277.2,4,59.4,261.2,7,51.4,263.2,10.1
3000300004N,30,003,00004N,119.1,30,3,123.1,28,1,110.1,22,11
30005000001,30,005,000001,193.2,72.8,10.7,216.4,51.4,12.6,192.2,48.5,13.6
30005000003,30,005,000003,16.3,415.5,5.6,30.7,395.2,7.6,27.8,377.1,20.2
30005000008,30,005,000008,73,266,7,97,233,14,95,219,15
30005000009,30,005,000009,7.5,199.3,1.2,13,184.7,5.2,10.9,178.1,9.7
30005000010,30,005,000010,292.9,149.6,16,331.9,116.2,10.2,284.5,117.3,26.6
30005000011,30,005,000011,289.9,302.2,29.3,347.5,244.6,25.2,305.7,232.7,33.4
30005000013,30,005,000013,91,29.9,4.3,98.6,23.3,3.3,87,25.2,4.4
30005000015,30,005,000015,19,525.8,2,38.5,493.6,8.8,31.6,474.2,28.3
30007000001,30,007,000001,452.9,245.7,15,481.8,204.9,22.8,476.9,174.1,32.7
30007000007,30,007,000007,307,185,14,323,165,18,321,129,28
