GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10001001-28,10,001,001-28,424.72,134.07,10.31,5.63,430.34,135.01,420.03,148.13,405.03,151.89,15.94,418.15,144.38
10001001-29,10,001,001-29,2216.74,2073.15,40.52,44.21,2320.17,1922.2,2208.72,2101.23,1937.68,2312.52,79.25,2127.34,2164.82
10001001-30,10,001,001-30,813.94,1148.36,18.17,19.14,906.29,1003.99,885.82,1078.16,728.81,1225.41,28.5,825.53,1141.46
10001001-31,10,001,001-31,47.73,59.17,1.03,0.84,51.01,53.92,49.98,57.3,38.17,68.08,1.97,46.23,60.48
10001001-32,10,001,001-32,997.16,408.22,13.7,23.39,1026.64,370.75,1000.14,421.94,925.31,457.72,28.21,982.63,424.98
10001001-33,10,001,001-33,171,152,2,3,174,145,177,144,149,171,4,164,159
10001001-34,10,001,001-34,203.78,155.74,4.05,4.24,216.08,133.9,201.71,156.03,171.93,182.56,4.96,193.77,163.3
10001002-28,10,001,002-28,735.25,492.94,14.54,14.01,757.96,458.35,736.13,502.6,626.2,582.33,27.47,720.29,510.04
10001002-29,10,001,002-29,2101.56,1264.72,34.86,38.82,2185.86,1156.3,2101.28,1295.62,1908.46,1447.93,48.1,2070.05,1315.08
10001002-30,10,001,002-30,112.11,122.54,2.24,0.98,120.64,111.08,116.3,119.9,102.21,131.88,2.1,109.33,124.48
10001002-31,10,001,002-31,804.8,432.23,9.83,15.18,845.65,383.42,782.11,457.19,718.9,513.11,13.04,769.47,473.52
10001002-32,10,001,002-32,626.81,389.91,15.62,16.73,666.23,348.79,638.6,389.19,548.25,457.1,29.43,619.01,409.84
10001002-33,10,001,002-33,926.26,835.03,11.76,18.88,979.88,755.91,935,841.89,791.24,957.33,24.73,887.46,875.62
10001002-34,10,001,002-34,76.51,171.84,0.73,4.73,91.35,153.25,83.16,168.17,57.19,194.28,1.88,71.9,180.37
10001003-28,10,001,003-28,224.41,157.49,4.2,6.21,228.78,150.07,226.33,160.54,191.65,186.68,10.03,215.82,170.28
10001003-29,10,001,003-29,301.11,354.76,5.36,5.13,318.41,325.51,308.88,346.02,247.94,400.52,12.85,291.61,362.68
10001003-30,10,001,003-30,374.57,893.33,10.81,12.75,431.49,803.79,424.81,845.1,282.16,965.87,31.56,356.08,917.83
10001003-31,10,001,003-31,1136,643,12,20,1162,592,1105,679,954,810,24,1090,682
10001003-32,10,001,003-32,500.79,335.11,10.65,16.18,535.36,295.27,508.31,340.52,432.01,398.21,14.96,495.52,353.11
10001003-33,10,001,003-33,517.24,647.28,4.89,9.78,574.92,552.44,560.26,603.28,428.26,728.43,14.67,506.48,653.15
10001003-34,10,001,003-34,1005.62,1093.44,25.19,22.15,1074.37,1001.57,1045.12,1075.25,863.02,1228.94,29.36,982.87,1133.98
10001004-28,10,001,004-28,22.96,30.72,0.3,0,25.05,28.33,23.26,30.72,19.98,32.21,1.19,23.56,29.82
10001004-29,10,001,004-29,263.3,326.41,5.69,4.66,281.41,297.44,275.72,316.07,210.54,375.56,10.86,255.03,333.66
10001004-30,10,001,004-30,187.16,368.22,5.02,4.28,211.9,320.95,201.99,349.01,145.62,401.78,9.79,181.94,369.59
10001004-31,10,001,004-31,569.6,264.08,3.01,6.34,589.94,237.75,567.25,271.44,501.89,316.46,15.68,544.24,285.45
10001004-32,10,001,004-32,161.7,58.92,4.38,1.64,159.6,61.93,150.75,72.14,148.57,69.22,5.2,154.49,66.3
10001004-33,10,001,004-33,654.89,840.97,17.19,22.03,715.98,761.86,670.37,840.96,542.85,951.45,29.25,619.98,896.34
10001004-34,10,001,004-34,1423.58,1055.54,21.44,36.82,1497.69,975.05,1433.55,1053.84,1214.69,1254.96,38.31,1349.76,1138.55
10001005-28,10,001,005-28,1515.62,800.43,19.26,25.26,1539.24,760.34,1503.15,828.28,1375.26,918.3,39.1,1472.77,846.81
10001005-29,10,001,005-29,173.28,389.09,7.28,7.99,199.04,350.15,198.11,370.71,143.97,416.23,13.8,172.34,394.92
10001005-30,10,001,005-30,576.84,698.78,4.98,16.72,625.1,604.05,616.01,652.99,480.38,776.22,23.21,566.06,705.41
10001005-31,10,001,005-31,612,288,17,16,641,258,596,323,517,386,23,587,325
10001005-32,10,001,005-32,269.35,203.2,6.94,4.48,298.94,166.44,279.52,194.47,233.84,233.82,12.67,267.36,206.05
10001005-33,10,001,005-33,305.22,525.7,7.06,7.45,338.86,476.51,340.77,493.05,258.59,563.05,12.69,297.51,530.62
10001005-34,10,001,005-34,287.71,358.29,7.89,7.2,318.62,313.3,301.07,351.86,223.43,421.88,15.33,281.55,372.14
10001006-28,10,001,006-28,351.91,297.88,5.37,6.86,357.31,284.15,342.14,309.99,294.15,350.32,12.22,328.39,316.14
10001006-29,10,001,006-29,249.9,521.76,7.86,9.63,281.89,477.52,271.26,511.54,189.06,579.48,13.77,240.2,539.9
10001006-30,10,001,006-30,398.97,745.59,8.94,7.9,462.44,642.64,416.94,720.8,316.02,816.8,14.82,371.42,775.22
10001006-31,10,001,006-31,735.42,170.19,13.13,11.65,761.63,161.43,715.01,205.29,686.34,216.99,20.4,730.04,191.83
10001006-32,10,001,006-32,86.58,14.79,1.3,1.77,90.67,13.37,87.11,16.24,85.86,15.01,2.45,88.93,14.17
10001006-33,10,001,006-33,707.81,963.22,14.45,18.31,803.59,827.58,752.78,916.05,604.52,1056.98,23.25,697.41,969.53
10001006-34,10,001,006-34,823.52,667.33,20.71,10.62,879.96,596.18,843.72,646.87,709.47,764.29,23.33,806.39,682.72
10001007-28,10,001,007-28,62.59,37.72,0.38,0.73,62.03,35.84,61.91,37.3,53.97,44.83,1.52,59.72,39.33
10001007-29,10,001,007-29,433.96,569.63,8.57,11.04,473.55,515.3,453.85,559.36,333.41,669.09,14.72,409.52,603.82
10001007-30,10,001,007-30,312,868,10,11,382,727,341,850,274,899,23,315,864
10001007-31,10,001,007-31,644.57,221.9,10.44,14.55,671.79,203.86,642.06,230.16,585.82,263.89,24.22,643.47,234.83
10001007-32,10,001,007-32,18.88,23.14,0.61,1.83,21.01,20.71,19.19,23.45,15.53,27.1,1.22,18.58,24.67
10001007-33,10,001,007-33,491.65,417.74,11.31,10.49,539.5,356.8,514.12,405.34,429.46,472.53,18.59,498.5,419.99
10001007-34,10,001,007-34,733.87,554.02,17.94,10.3,764.84,495.99,739.49,550.55,607.35,668.51,19.85,687.24,604.01
10001008-28,10,001,008-28,259.02,287.72,3.08,5.07,269.05,274.08,269.23,276.68,219.34,322.94,7.23,246.86,298.53
10001008-32,10,001,008-32,13.64,12.79,0.33,0.95,14.97,11.34,13.93,12.85,11.86,14.83,0.68,13.59,13.47
10001008-33,10,001,008-33,117.56,108.18,2.48,3.14,128.87,93.8,122.61,104.77,100.66,122.71,4.66,118.65,108.53
10001008-34,10,001,008-34,573.55,483.86,8.26,9.38,610.7,437.24,579.92,484.66,499.78,553.77,10.18,556.67,501.65
10001009-08,10,001,009-08,309.48,272.26,6.64,7.58,322.82,257.28,304.12,284.73,271.54,308.65,10.26,295.23,291.93
10001009-28,10,001,009-28,100.47,79.15,1.17,0.29,104.27,70.68,100.18,76.81,89.37,85.87,2.63,99.6,78.57
10001009-32,10,001,009-32,511.02,358.96,12.81,5.79,527.85,332.07,511.91,363.7,437.33,418.99,20.68,489.8,380.82
10001009-34,10,001,009-34,108.21,94.91,1.92,1.78,116.85,84.62,108.9,95.32,95.32,107.25,2.19,105.88,98.34
10001010-08,10,001,010-08,276.97,167.72,6.07,10.32,284.87,161.63,273.95,178.63,245.38,195.66,14.58,269.07,185.94
10001010-28,10,001,010-28,44.4,13.92,0.99,1.66,46.06,14.25,42.75,17.56,38.11,20.54,2.32,40.76,19.55
10001010-32,10,001,010-32,16.9,23.08,0.91,1.09,20.72,19.81,20.54,21.08,13.99,26.72,0.73,18.54,22.72
10001010-34,10,001,010-34,155.89,345.16,5.2,6.87,178.97,311.97,172.8,330.85,118.94,382.08,5.68,146.08,357.59
10001011-08,10,001,011-08,22.33,13.52,0.49,0.83,22.97,13.03,22.09,14.4,19.79,15.77,1.18,21.7,14.99
10001011-28,10,001,011-28,407,109,9,5,421,104,402,125,391,119,14,410,110
10001012-08,10,001,012-08,45.58,23.17,0.74,1.05,47.49,21.44,44.17,25.44,41.43,26.74,1.41,43.94,25.35
10001012-28,10,001,012-28,147.01,67.57,3.33,4.06,152.01,62.41,146.32,72.75,134.82,79.45,3.49,142.43,73.14
10001013-28,10,001,013-28,118.01,130.18,3.48,5.87,134.45,114.76,130.64,122.72,101.83,147.64,4.12,122.69,129.51
10001014-28,10,001,014-28,692.02,400.9,10.71,11.08,698.43,373.7,679.8,407.7,606,474.89,18.98,659.74,418.92
10003001-01,10,003,001-01,582.52,51.17,5.01,6.02,595.54,42.16,515.5,125.2,517.43,100.26,9.02,526.45,100.25
10003001-02,10,003,001-02,692.67,27.91,12.96,5.98,719.58,24.92,593.01,140.53,669.75,33.89,16.94,676.73,35.88
10003001-03,10,003,001-03,430,26,10,15,451,32,409,68,425,28,15,425,46
10003001-04,10,003,001-04,916.34,257.44,17.75,11.84,957.77,219.96,939.03,260.4,674.68,493.19,24.66,693.42,492.2
10003001-05,10,003,001-05,838.76,189.35,9.18,11.08,856.87,176.37,799.72,241.59,784.48,231.61,22.18,809.76,221.51
10003001-06,10,003,001-06,454,212,9,6,474,197,449,224,406,248,17,406,265
10003001-07,10,003,001-07,606,333,17,13,616,331,610,340,525,402,29,525,430
10003001-08,10,003,001-08,339,435,3,6,341,424,329,449,255,507,15,285,488
10003001-09,10,003,001-09,629.47,542.27,17.29,10.93,649.54,522.73,628.72,545.75,517.33,640.87,23.83,581.45,592.83
10003001-10,10,003,001-10,732.72,415.46,8.28,20.13,741.7,398.48,734.12,411.3,584.71,543.16,26.4,668.92,482.96
10003001-11,10,003,001-11,532,380,12,10,540,366,513,407,471,444,13,499,417
