GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
38001965600,38,001,9656,2593,2550,14,7,8,4,1,0,9,1992,1960,12,4,7,4,1,0,4,3970,37700,21495,15630,09410,35,35,1,1,43,48
38003967900,38,003,9679,1882,1842,0,7,21,1,0,0,11,1364,1342,0,3,12,1,0,0,6,NA,26380,65380,NA,18850,24,24,1,1,32,40
38003968000,38,003,9680,2993,2959,3,1,17,2,0,0,11,2185,2160,3,1,9,2,0,0,10,NA,47140,64020,17250,14160,24,24,1,1,76,43
38003968200,38,003,9682,3383,3225,39,44,38,8,0,2,27,2720,2622,23,35,20,8,0,0,12,NA,81180,81180,NA,18850,24,24,1,1,1865,1857
38003968300,38,003,9683,3517,3451,11,12,14,11,0,0,18,2882,2842,8,7,9,8,0,0,8,NA,81180,81180,NA,18850,24,24,1,1,135,149
38005940100,38,005,9401,2346,583,3,36,1708,0,0,0,16,1353,466,2,15,856,0,0,0,14,3935,53220,59060,14520,12990,12,12,1,1,108,54
38005940200,38,005,9402,1971,351,0,8,1577,0,0,0,35,1103,274,0,4,806,0,0,0,19,3935,83580,53580,14520,19260,12,12,1,1,97,98
38005956500,38,005,9565,1371,1343,4,6,17,0,0,0,1,994,980,1,2,11,0,0,0,0,3935,45580,43300,NA,10980,12,12,1,1,94,50
38005956600,38,005,9566,1276,1256,0,5,10,1,1,0,3,1001,988,0,5,5,0,1,0,2,3935,49620,24820,14520,11700,12,12,1,1,126,122
38007963100,38,007,9631,888,874,0,3,1,0,1,1,8,667,659,0,2,1,0,1,1,3,NA,51900,57710,02840,02380,39,39,1,1,237,415
38009952300,38,009,9523,2430,2305,8,23,59,9,0,1,25,1960,1895,3,12,33,7,0,1,9,NA,08460,08460,NA,03060,6,6,1,1,669.1909385113269,903.8834951456312
38009952400,38,009,9524,2603,2546,4,8,27,2,0,0,16,1989,1952,0,6,20,2,0,0,9,NA,86380,67740,NA,03060,6,6,1,1,679.0922330097088,917.2572815533981
38009952500,38,009,9525,2116,2084,3,4,10,2,1,0,12,1613,1596,2,3,7,0,1,0,4,NA,85020,77740,NA,00825,6,6,1,1,550.7168284789644,743.8592233009709
38011965200,38,011,9652,1817,1791,0,12,2,0,0,0,12,1404,1391,0,5,2,0,0,0,6,NA,08700,08700,NA,03200,39,39,1,1,464.76848090982935,674.0568643379365
38011965300,38,011,9653,1425,1404,1,10,3,1,0,0,6,1058,1045,1,7,3,0,0,0,2,NA,71500,84650,12120,00023,39,39,1,1,350.2315190901706,507.94313566206336
38013953100,38,013,9531,1085,1075,2,3,4,1,0,0,0,842,839,0,1,1,1,0,0,0,NA,08500,58140,NA,03090,2,2,1,1,352.9284507042253,489.0715492957746
38013953200,38,013,9532,1157,1145,1,5,1,2,0,0,3,933,925,1,3,1,2,0,0,1,4345,64140,41660,NA,03590,2,2,1,1,391.0715492957747,541.9284507042254
38015010100,38,015,0101,3579,3244,26,24,221,28,3,1,32,2996,2777,14,17,140,23,3,0,22,NA,07200,07200,NA,00014,30,30,1,1,958.0351819666088,1145.0189076736715
38015010200,38,015,0102,5317,4947,10,50,230,11,1,1,67,4175,3973,7,31,127,8,0,1,28,NA,07200,07200,NA,00014,30,30,1,1,1335.0456891557383,1595.6121293516617
38015010300,38,015,0103,6094,5841,7,31,139,29,1,3,43,4730,4576,6,18,85,23,1,3,18,NA,07200,07200,NA,00014,49,49,1,1,1512.5188286722496,1807.7234423552957
38015010400,38,015,0104,3775,3696,8,17,27,11,0,1,15,3027,2984,3,9,15,4,0,0,12,NA,07200,07200,NA,00014,49,49,1,1,967.9480960657291,1156.8665665981987
38015010500,38,015,0105,5070,4850,12,44,88,31,2,3,40,3803,3667,9,26,57,19,1,2,22,NA,07200,07200,NA,00014,47,47,1,1,1216.0907199662927,1453.440222257334
38015010600,38,015,0106,4760,4379,11,57,266,15,7,3,22,3556,3333,5,40,146,13,2,0,17,NA,07200,07200,NA,00014,30,30,1,1,1137.1071785958814,1359.041133407068
38015010700,38,015,0107,4762,4516,8,31,173,7,1,3,23,3505,3354,6,25,108,4,0,0,8,NA,07200,07200,NA,00014,32,32,1,1,1120.7988360457155,1339.549823563491
38015010800,38,015,0108,4032,3772,6,13,182,5,0,0,54,3058,2914,4,9,108,4,0,0,19,NA,07200,07200,NA,00014,32,32,1,1,977.8610101648496,1168.714225522726
38015010900,38,015,0109,3285,3192,5,12,43,11,0,0,22,2559,2503,4,8,29,9,0,0,6,NA,07200,07200,NA,00014,30,30,1,1,818.2950703112656,978.0051350924316
38015011000,38,015,0110,6156,5912,5,33,139,9,0,1,57,4220,4091,3,15,80,7,0,1,23,NA,07200,36460,00015,00014,49,49,1,1,74.12737987307344,102.82184950135992
38015011101,38,015,011101,3874,3718,10,17,66,25,1,0,37,3112,3027,7,6,38,15,1,0,18,NA,07200,07200,NA,00014,47,47,1,1,995.1286669826724,1189.3520830041607
38015011102,38,015,011102,6589,6323,14,48,89,57,0,4,54,4604,4451,9,24,52,41,0,3,24,NA,07200,07200,02320,00014,47,47,1,1,80.87262012692656,112.17815049864008
38015011200,38,015,0112,4579,4347,17,37,127,18,1,0,32,3453,3331,14,25,61,8,1,0,13,NA,07200,46710,11970,00014,30,30,1,1,1104.1707220729973,1319.6763311739612
38015011300,38,015,0113,4069,3534,24,43,434,4,0,0,30,2818,2449,22,39,284,4,0,0,20,NA,07200,02780,02014,00014,8,8,1,1,179,175
38015011400,38,015,0114,1995,1969,2,5,6,2,0,0,11,1485,1474,2,3,1,2,0,0,3,NA,NA,47860,17760,09130,14,14,1,1,41,54
38015011500,38,015,0115,1480,1446,1,6,6,8,1,1,11,1140,1124,0,5,2,4,1,0,4,NA,86780,21860,15670,13200,14,14,1,1,77,78
38017000100,38,017,0001,5585,5419,15,24,11,81,2,0,33,3994,3898,6,12,7,56,2,0,13,NA,25700,25700,NA,06780,44,44,1,1,1003.1134561633678,980.2170440933204
38017000200,38,017,0002,6599,6288,14,85,74,65,2,0,71,5326,5128,11,50,52,47,2,0,36,NA,25700,25700,NA,06780,45,45,1,1,1337.6520449489476,1307.1196737208375
38017000300,38,017,0003,4089,3565,60,53,22,350,1,4,34,3584,3156,48,46,18,285,1,3,27,NA,25700,25700,NA,06780,45,45,1,1,900.1398665221607,879.5938623010667
38017000400,38,017,0004,4043,3896,19,26,35,37,3,2,25,3276,3168,15,18,24,32,2,2,15,NA,25700,25700,NA,06780,45,45,1,1,822.7840967429125,804.0037647595688
38017000500,38,017,0005,7054,6580,38,111,159,66,1,12,87,5997,5656,32,70,114,58,1,11,55,NA,25700,25700,NA,06780,44,44,1,1,1506.1771148251667,1471.798100507672
38017000600,38,017,0006,4438,3797,136,133,99,110,6,10,147,3370,2981,78,88,76,69,4,4,70,NA,25700,25700,NA,06780,21,21,1,1,846.3926758313844,827.0734698534026
38017000700,38,017,0007,1667,1469,24,37,85,31,0,1,20,1623,1443,23,36,72,30,0,1,18,NA,25700,25700,NA,06780,21,21,1,1,407.6247219211682,398.3205464605556
38017000801,38,017,000801,3520,3278,36,56,70,26,1,3,50,2872,2699,29,38,54,24,1,3,24,NA,25700,25700,NA,06780,21,21,1,1,721.3174376818208,704.8531173350066
38017000802,38,017,000802,5525,4862,162,76,103,165,4,5,148,4189,3806,82,38,61,120,2,3,77,NA,25700,25700,NA,06780,11,11,1,1,1052.0887000171124,1028.0744110432947
38017000901,38,017,000901,5367,5175,21,61,34,26,0,3,47,4001,3891,10,31,22,19,0,2,26,NA,25700,25700,NA,06780,11,11,1,1,1004.8715418401689,981.9350008556272
38017000902,38,017,000902,8141,7672,50,117,79,104,7,10,102,6684,6390,36,73,53,72,3,1,56,NA,25700,25700,NA,06780,11,11,1,1,1678.72066624836,1640.4032856083509
38017001001,38,017,001001,5638,5290,101,60,56,43,2,3,83,4361,4146,50,39,42,32,2,2,48,NA,25700,25700,NA,06780,41,41,1,1,1095.2873766470823,1070.2870629171182
38017001002,38,017,001002,2798,2643,32,41,31,15,0,4,32,2323,2218,23,26,25,9,0,3,19,NA,25700,25700,NA,06780,46,46,1,1,583.4332896012777,570.1162226912326
38017010104,38,017,010104,6686,6370,48,85,68,52,1,4,58,4910,4735,22,47,40,36,1,4,25,NA,84780,84780,NA,19410,13,13,1,1,1233.1715247276252,1205.023957560892
38017010105,38,017,010105,6901,6409,58,98,99,85,6,11,135,5923,5599,40,59,72,70,4,3,76,NA,25700,25700,NA,19410,41,41,1,1,1487.5916376704124,1453.6368433061434
38017010201,38,017,010201,4053,3925,3,47,21,15,0,0,42,2866,2800,1,25,13,9,0,0,18,NA,84780,84780,12030,19410,13,13,1,1,751.6121176121176,696.2839322839322
38017010203,38,017,010203,3171,3017,12,59,30,5,0,5,43,2379,2295,6,33,18,4,0,5,18,NA,84780,84780,NA,19410,13,13,1,1,623.8957528957529,577.969111969112
38017010204,38,017,010204,3503,3326,21,55,54,4,2,1,40,2477,2386,12,29,25,2,1,0,22,NA,84780,84780,NA,19410,13,13,1,1,649.5963765963767,601.7778437778438
38017010303,38,017,010303,5265,5083,13,30,25,87,1,7,19,3786,3672,8,20,16,56,0,4,10,NA,25700,25700,NA,06780,41,41,1,1,992.883278883279,919.7944757944758
38017010304,38,017,010304,6608,6300,60,59,29,90,1,5,64,4521,4353,32,32,18,58,1,1,26,NA,25700,25700,NA,06780,46,46,1,1,1135.4721921168216,1109.5546460555588
38017010305,38,017,010305,4387,4148,43,51,33,43,2,1,66,3170,3051,22,27,21,28,2,0,19,NA,25700,25700,NA,06780,41,41,1,1,796.1616564942103,777.988990930352
38017040100,38,017,0401,2086,2056,0,17,4,0,0,0,9,1557,1534,0,14,4,0,0,0,5,NA,79340,22860,NA,12020,22,22,1,1,92,104
38017040200,38,017,0402,2227,2170,1,34,10,1,0,0,11,1631,1609,0,11,5,1,0,0,5,NA,39460,24140,12030,00044,22,22,1,1,145,108
38017040300,38,017,0403,2807,2751,4,15,14,8,0,0,15,1960,1931,1,10,7,4,0,0,7,NA,12700,12700,12030,04090,22,22,1,1,600,407
38017040400,38,017,0404,2916,2862,2,31,7,0,0,2,12,1960,1930,2,14,5,0,0,1,8,NA,84780,65860,12030,19410,22,22,1,1,514.0124740124741,476.1746361746362
38017040500,38,017,0405,5321,5205,3,40,19,26,0,3,25,3593,3540,2,17,12,13,0,1,8,NA,38900,75340,12030,19410,22,22,1,1,645,574
38017040600,38,017,0406,2743,2707,2,17,6,8,0,0,3,1957,1933,1,11,6,4,0,0,2,NA,42780,00500,12030,00025,22,22,1,1,172,147
38019950800,38,019,9508,1572,1518,1,14,12,4,0,0,23,1184,1159,0,8,6,1,0,0,10,4345,53020,21460,14700,10810,10,10,1,1,533.0112544606094,643.188580839967
38019950900,38,019,9509,2078,2041,3,14,6,0,0,2,12,1594,1575,2,5,5,0,0,0,7,NA,44780,44780,NA,10810,10,10,1,1,717.5844084545704,865.914356299753
38019951000,38,019,9510,1181,1161,2,3,7,0,0,0,8,865,853,1,1,5,0,0,0,5,NA,01740,79540,NA,13440,10,10,1,1,389.4043370848202,469.89706286028
38021973200,38,021,9732,2469,2379,3,51,4,21,0,0,11,1854,1808,1,29,3,9,0,0,4,NA,58740,58740,NA,14500,26,26,1,1,586.4521422060163,865.3126709206928
38021973300,38,021,9733,1643,1607,1,12,1,6,0,0,16,1205,1183,1,9,1,5,0,0,6,NA,28780,50500,NA,06090,26,26,1,1,381.16226071103006,562.4065633546035
38021973400,38,021,9734,1645,1598,2,15,15,2,0,1,12,1329,1296,1,10,7,2,0,1,12,NA,23220,23220,NA,06090,26,26,1,1,420.38559708295355,620.2807657247038
38023954500,38,023,9545,2283,2251,0,14,3,12,0,0,3,1821,1803,0,9,1,7,0,0,1,4345,16940,16940,NA,05160,2,2,1,1,877,927
38025940100,38,025,9401,402,32,0,4,366,0,0,0,0,249,29,0,2,218,0,0,0,0,1160,49980,27330,18600,11850,4,4,1,1,84.11132364192808,92.87490436113237
38025962100,38,025,9621,3198,3069,1,23,75,3,0,0,27,2365,2285,1,17,51,2,0,0,9,1160,42700,34350,05190,10270,36,36,1,1,798.888676358072,882.1250956388676
38027940100,38,027,9401,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3935,NA,29700,14520,16860,12,12,1,1,0.8974358974358975,0.7882241215574549
38027940200,38,027,9402,116,115,0,0,0,0,0,0,1,84,83,0,0,0,0,0,0,1,3935,83580,28420,NA,19260,12,12,1,1,37.69230769230769,33.105413105413106
38027959100,38,027,9591,2637,2530,2,17,63,4,2,0,19,2020,1964,1,8,40,2,1,0,4,3935,56620,56620,14520,13850,12,12,1,1,906.4102564102564,796.1063627730294
38029966300,38,029,9663,1413,1391,1,11,1,5,0,0,4,1097,1081,1,8,1,4,0,0,2,NA,46980,46980,NA,00017,28,28,1,1,329.5042997542997,448.4358108108108
38029966400,38,029,9664,2918,2866,1,39,3,2,7,0,0,2159,2128,1,25,2,1,2,0,0,3970,76500,74120,02240,00016,28,28,1,1,648.4957002457002,882.5641891891892
38031959400,38,031,9594,1449,1439,1,2,4,0,0,0,3,1055,1051,0,2,1,0,0,0,1,NA,30660,45180,NA,00042,29,29,1,1,390.58579668348955,420.6308579668349
38031959500,38,031,9595,2310,2278,4,5,12,0,0,1,10,1719,1705,1,3,6,0,0,1,3,NA,12340,12340,NA,03790,29,29,1,1,636.4142033165105,685.3691420331651
38033962900,38,033,9629,1924,1870,0,20,12,2,0,0,20,1379,1364,0,4,2,2,0,0,7,NA,05420,05420,11610,02380,39,39,1,1,504,742
38035010100,38,035,0101,3174,2864,40,103,115,9,0,0,43,2529,2346,30,58,65,8,0,0,22,NA,32060,32060,NA,08130,18,18,1,1,743.2542174320525,669.4489222118088
38035010200,38,035,0102,4412,4133,18,91,86,28,0,1,55,3468,3292,12,57,63,25,0,1,18,NA,32060,32060,NA,08130,42,42,1,1,1019.2193064667292,918.0106216807249
38035010300,38,035,0103,5004,4410,60,78,256,124,3,10,63,4571,4144,45,59,155,113,3,4,48,NA,32060,32060,NA,08130,42,42,1,1,1343.3827710090598,1209.9845881495366
38035010400,38,035,0104,4921,4201,82,163,281,66,2,5,121,3566,3149,52,79,174,55,1,5,51,NA,32060,32060,NA,08130,42,42,1,1,1048.0207747578881,943.9520983026139
38035010600,38,035,0106,2182,1941,29,79,92,8,1,1,31,1747,1573,25,55,64,7,1,1,21,NA,32060,32060,NA,08130,18,18,1,1,513.4302561699469,462.44652712693954
38035010700,38,035,0107,2005,1867,12,38,62,7,0,0,19,1523,1437,8,31,34,7,0,0,6,NA,32060,32060,NA,08130,43,43,1,1,447.5983286472977,403.1517234197646
