GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIWES,G20PREIPIE,G20PREIBLA,G20PREIFUE,G20USSRRIS,G20USSDJOR,G20USSIFLE,G20USSCWRI
16001011401,16,001,011401,1191.87,386.23,21.02,4,4,1,2,1208.87,381.23,21.02,9.01
16001011402,16,001,011402,926.48,374.67,18.06,4.55,1.31,1.92,1.93,943.43,360.12,24.54,8.32
16001011403,16,001,011403,515.44,207.78,10.06,2.57,0.74,1.05,1.05,524.73,199.78,13.59,4.65
16001011404,16,001,011404,2174.7,582.11,58.38,6.63,9.63,4.63,1.63,2134.43,582.28,74.68,19.72
16001011405,16,001,011405,1442.9,512.32,30.1,5.01,9.01,3.01,0.01,1419.87,499.3,57.15,12.06
16001011406,16,001,011406,3881.26,1292.24,71.25,13.08,11.25,5.08,6.02,3979.43,1163.36,98.91,31.3
16001011407,16,001,011407,859.46,505.16,15.88,4.96,1.98,0,2.98,856.49,495.23,25.8,2.98
16001011408,16,001,011408,891.56,703.17,15.54,7.13,3.04,2.06,1.06,927.05,644.75,42.73,11.25
16001011409,16,001,011409,834,561,28,2,4,4,1,863,530,32,9
16001011410,16,001,011410,894.91,726.22,20.04,3.02,4.01,1,1.01,885.12,696.91,43.13,11.02
16001011411,16,001,011411,1253.03,772.64,43.87,9.04,5,1,0.02,1244.1,751.35,63.15,18.96
16001011412,16,001,011412,1113.15,374.32,15.75,2.25,2.25,2.25,2.25,1108.65,371.31,24,9.75
16001011413,16,001,011413,3760.03,1875.56,93.92,17.49,14.78,6.47,5.9,3818.04,1739.1,166.2,34.78
16001011414,16,001,011414,1931.92,819.1,50.23,9.44,13.04,4.52,5.14,1934.05,796.86,79.48,18.26
16001011415,16,001,011415,1058.01,389.03,21.81,2.73,2.73,2.73,0.91,1112.55,336.31,30.9,6.36
16001011416,16,001,011416,1631.02,916.01,19.99,9.4,3.47,1.28,2.11,1715.99,795.25,55.93,9.95
16001011417,16,001,011417,1528.75,646.36,45.01,7,8,4,1,1494.75,659.34,50.03,17.01
16001011418,16,001,011418,1448.25,691.64,28.99,6,9,4,3,1446.25,656.66,50.97,13.99
16001011419,16,001,011419,891.87,505.72,31.36,6.86,7.84,1.96,0.98,853.64,518.46,38.22,21.56
16001011501,16,001,011501,1140,951,41,6,4,3,5,1206,880,68,12
16001011502,16,001,011502,954,809,40,10,4,3,0,1023,750,42,14
16001011503,16,001,011503,725,664,28,9,4,2,2,732,648,41,11
16001011504,16,001,011504,1308.47,1177.37,66.02,16,9,8,1,1317.45,1167.36,69.02,17.01
16001011505,16,001,011505,736,577,28,8,3,3,1,755,558,32,10
16001011506,16,001,011506,723,739,33,9,10,2,2,720,743,52,8
16001011507,16,001,011507,820,698,33,7,13,5,4,814,699,41,9
16001011508,16,001,011508,732,720,24,6,7,2,5,722,711,56,11
16001011509,16,001,011509,1034.74,1037.88,55.75,9.93,8.8,3.7,1.7,1007.38,1059.13,58.98,21.8
16001011510,16,001,011510,936.3,981.97,58.3,9.31,12.08,3.26,5.66,875.93,1036.88,63.87,15.92
16001011511,16,001,011511,392.97,424.15,24.95,6.76,3.12,1.04,3.64,385.69,432.99,30.15,7.28
16001011512,16,001,011512,547,563,20,6,4,2,1,505,571,38,14
16001011513,16,001,011513,610.06,548.05,43,6,4,2,1,573.06,572.05,33,12
16001011514,16,001,011514,665,526,20,6,5,6,0,641,524,40,13
16001011515,16,001,011515,453.94,345.95,24,4,5,2,0,446.94,339.95,26,6
16001011601,16,001,011601,943.66,1150.47,25.91,2.79,7.4,0.93,0,985.4,1095.73,40.76,7.41
16001011602,16,001,011602,721.04,1110.6,31.4,7.89,8.04,3.92,1.88,722.95,1103.66,40.26,12.86
16001011603,16,001,011603,747,1564,43,6,4,4,1,743,1537,61,13
16001011604,16,001,011604,480,934,30,7,9,3,4,488,916,40,8
16001011605,16,001,011605,429,1048,33,12,4,4,3,426,1044,50,5
16001011606,16,001,011606,333,1146,42,7,6,1,2,339,1158,24,7
16001011607,16,001,011607,800.79,923.54,34.64,13.86,10.89,0.99,2.97,754.27,960.16,57.41,20.79
16001011608,16,001,011608,657.13,962.83,37.7,12.71,4.3,6.82,1.08,606.68,994.31,56.02,13.07
16001011609,16,001,011609,638.39,645.11,39.36,5.76,9.6,3.84,0,657.59,636.47,34.56,12.48
16001011610,16,001,011610,920,976.18,51.55,15.21,12.38,13.14,4.99,896.84,985.8,86.29,19.49
16001011611,16,001,011611,652.5,858.28,18.61,9.21,4.06,3.11,2.02,671.62,837.83,36.92,5.21
16001011612,16,001,011612,394.61,523.71,23.09,5.03,2.02,1.02,3.01,372.57,508.73,37.15,15.03
16001011613,16,001,011613,551.95,870.84,38.11,8.04,4.01,6.02,4,570.79,875.94,34.17,13.04
16001011614,16,001,011614,564,726,43,5,6,5,1,555,718,51,17
16001011615,16,001,011615,725.22,1308.58,53.02,11,10.01,6,4,679.22,1318.58,72.02,25.01
16001011701,16,001,011701,661,849,40,11,9,1,5,621,877,38,15
16001011702,16,001,011702,665,802,35,10,10,1,4,656,787,55,14
16001011703,16,001,011703,627,899,35,11,2,3,5,576,902,65,12
16001011704,16,001,011704,345.45,904.57,34.72,7.48,11.23,0.19,3.09,350.24,910.85,33.5,12.52
16001011705,16,001,011705,420,850,36,9,7,4,6,409,872,43,8
16001011706,16,001,011706,569,1142,38,10,12,5,1,542,1160,45,13
16001011707,16,001,011707,378,878,25,10,6,4,3,391,882,32,4
16001011708,16,001,011708,454,1171,45,13,5,4,2,470,1162,39,9
16001011709,16,001,011709,413,958,32,5,5,0,3,417,945,37,4
16001011710,16,001,011710,205.82,524.21,20.55,3.15,4.06,0,2.04,199.96,499.95,39.55,2.08
16001011711,16,001,011711,296,720,38,4,1,2,0,286,730,27,9
16001011712,16,001,011712,562,665,28,4,3,6,1,527,688,41,12
16001011713,16,001,011713,701,939,43,6,14,4,4,689,946,50,18
16001011714,16,001,011714,452.95,889.27,30.43,10.37,6.19,2.11,1.3,436.9,909.57,31.76,12.82
16001011715,16,001,011715,746.05,1140.73,62.57,9.63,4.81,2.89,7.7,693.1,1174.43,71.24,21.18
16001011801,16,001,011801,792,684,40,11,4,2,1,755,708,31,17
16001011802,16,001,011802,1000,757,38,10,9,7,3,1008,748,44,20
16001011803,16,001,011803,319.07,209.15,11.83,2.67,1.91,1.14,1.91,322.13,204.19,13.74,4.58
16001011804,16,001,011804,516.22,338.35,19.14,4.32,3.09,1.85,3.09,521.16,330.32,22.23,7.41
16001011805,16,001,011805,554.14,1393.24,44.37,12.82,3.94,0.99,1.97,564,1381.4,34.51,10.85
16001011806,16,001,011806,441.95,920.28,27.89,6.02,2.98,0.02,1.97,509.41,842.91,35.72,2.11
16001011807,16,001,011807,652,1179,44,12,5,3,2,623,1194,52,9
16001011808,16,001,011808,450.49,967.96,42.2,6.04,8,0.02,0.01,445.51,984.99,45.17,7.04
16001011809,16,001,011809,613.36,1222.03,45.31,12.07,7.04,3.02,5.01,639.59,1214.77,35.41,15.04
16001011810,16,001,011810,359.64,826.97,25.69,5.93,2.96,1.98,0.99,378.41,805.23,33.59,2.96
16001011811,16,001,011811,440.47,943.88,29.99,3.17,5.67,0.96,1.92,489.67,915.99,19.33,3.75
16001011812,16,001,011812,542,912.95,44.75,7.96,1.99,2.98,1.99,543.99,921.9,39.78,7.96
16001011813,16,001,011813,450.5,985.08,24.05,12.01,1.01,0,2,485.5,928.1,38.05,7.01
16001011814,16,001,011814,660.79,976.73,37.87,4.98,6.98,2.99,0,671.75,968.76,38.87,12.96
16001011815,16,001,011815,751.21,956.27,50.13,11.02,6.02,3.01,3,762.25,952.24,43.13,21.04
16001011816,16,001,011816,370,639,15,2,1,1,2,411,592,20,2
16001011817,16,001,011817,1299.82,2486.64,61.75,16.63,14.97,7.79,2.11,1446.18,2352.69,58.81,11.92
16001011818,16,001,011818,941.71,1237.81,50.36,6.26,4.38,7.21,3.98,983.83,1179.93,55.04,14.29
16001011901,16,001,011901,1765.26,1436.32,47.32,6.05,3.08,2.04,4.01,1775.99,1390.63,78.43,10.09
16001011902,16,001,011902,578.68,1125.7,36.09,8.01,6,1,1.01,686.66,1029.64,29.16,3.02
16001011903,16,001,011903,382.48,286.61,12.98,3,1,1,0,371.49,292.6,17.98,6.99
16001011904,16,001,011904,790.82,799.06,24.11,4.02,5.01,3.01,0.01,797.82,778.98,35.17,6.03
16001011905,16,001,011905,774,1046,43,11,6,0,3,736,1051,60,15
16001011906,16,001,011906,599.83,1102.94,35.48,4.93,5.91,2.96,1.97,587.03,1108.82,51.26,8.87
16001011907,16,001,011907,680,1161,25,9,8,1,2,734,1104,36,4
16001011908,16,001,011908,239.24,851.47,17.01,4,3,3,0,264.28,820.43,27.01,2
16001011909,16,001,011909,339,1207,25,3,0,0,2,370,1163,33,4
16001011910,16,001,011910,493.29,1917.24,48.1,14.75,10.83,2.61,2.61,578.35,1830.94,56.74,10.36
16001011911,16,001,011911,260,1218,28,7,2,2,1,277,1203,30,4
16001011912,16,001,011912,94.11,903.09,13.31,4.75,0,0.95,0.95,118.83,883.13,9.51,1.9
16001011913,16,001,011913,230,1181,13,5,1,2,1,241,1156,17,6
16001011914,16,001,011914,167.84,953.98,21.52,11.48,2.15,1.43,1.43,187.93,950.39,23.67,0.72
16001011915,16,001,011915,354.83,1161.25,31.28,5.86,5.86,0,2.93,365.58,1133.88,43.01,7.82
16001011916,16,001,011916,381.66,916.58,38.66,10.91,4.96,0,2.97,392.58,894.75,42.64,3.98
16001011917,16,001,011917,207.89,817.94,22.05,10,5,1,0,223.02,793.76,30.1,9
16001011918,16,001,011918,555.39,1555.63,27.42,12.14,2.05,1.01,2.01,608.07,1498.93,34.53,7.12
16001011919,16,001,011919,330.24,1393.5,24,5.98,2.99,0.98,1.02,371.65,1336.25,38.83,4.93
16001011920,16,001,011920,307.67,610.5,11.76,4.9,0.98,0,0,325.31,596.78,12.74,3.92
16001012001,16,001,012001,1437.46,806.02,35.29,5.97,10.3,5.51,2.75,1453.68,756.38,69.49,14.48
16001012002,16,001,012002,1569.44,1076.95,60.19,14.82,9.75,8.07,4.04,1597.48,1045.23,80.3,20.58
16001012003,16,001,012003,1535,720,32,12,4,4,4,1557,667,54,12
16001012004,16,001,012004,1395,898,54,11,6,2,2,1389,881,63,25
16001012005,16,001,012005,1347.1,852.03,52.53,8.21,6.95,7.42,1.21,1362.84,807.39,73.21,13.95
16001012006,16,001,012006,1413,834,41,6,5,2,6,1405,828,53,20
16001012007,16,001,012007,1057.13,551.28,25.64,9.14,6.16,4.04,6.02,1050.36,545.54,43.78,20.44
16001012008,16,001,012008,1326.69,777.15,47.37,9.84,9.09,4.67,4.34,1257.25,807.58,60.96,33.85
16001012009,16,001,012009,1583.31,1043.85,62.63,14.16,10.91,8.33,4.66,1511.75,1053.42,101.04,46.15
16001012010,16,001,012010,1110,771,28,11,9,1,7,1091,761,44,15
16001012011,16,001,012011,1151.53,904.63,43.98,11,5,2,2,1119.55,895.64,55.98,16.99
16001012012,16,001,012012,811,685,50,10,6,0,0,763,704,60,17
16001012013,16,001,012013,800,567,27,9,4,4,4,822,545,37,8
16001012101,16,001,012101,1500,680,33,4,6,1,5,1495,648,66,12
16001012102,16,001,012102,1299,705,58,12,5,4,1,1279,706,65,16
16001012103,16,001,012103,1000,642,25,7,8,5,4,992,630,44,9
16001012104,16,001,012104,1026.78,693.8,39.76,4.97,10.93,3.98,1.99,998.95,703.74,52.68,11.93
16001012105,16,001,012105,625.22,418.2,24.24,6.03,3.07,1.02,1.01,645.05,411.26,17.32,15.07
16001012106,16,001,012106,2622,1466,103,23,9,4,4,2609,1420,118,38
16001012107,16,001,012107,1374.16,724.49,47.6,5.14,8.19,6.02,2.07,1380.16,715.46,51.98,10.23
16001012108,16,001,012108,636.84,440.51,25.4,5.86,7.81,0.98,2.93,636.84,439.54,41.02,9.77
16001012109,16,001,012109,847,832,39,8,6,0,5,851,803,50,14
16001012110,16,001,012110,712.56,369.01,23.63,6.36,1.82,2.73,0.91,721.65,353.56,25.45,9.09
16001012111,16,001,012111,1713,1028,60,9,9,6,8,1730,1006,70,16
16001012112,16,001,012112,1516,1143,61,13,6,5,2,1476,1128,100,26
16001012113,16,001,012113,935,619,32,7,8,3,2,904,625,57,13
16001012114,16,001,012114,1067,747,48,4,8,7,3,1037,749,63,26
16001012115,16,001,012115,1306.25,844.08,46.01,14,11,5,6,1226.24,871.08,96.01,24
16001012116,16,001,012116,853,735,36,7,6,2,2,806,720,62,16
16001012201,16,001,012201,1333,686,62,6,8,9,2,1311,684,62,27
16001012202,16,001,012202,934,520,28,9,7,3,1,891,512,57,19
16001012203,16,001,012203,969,592,34,13,10,6,3,894,614,70,23
16001012204,16,001,012204,1134,704,51,19,8,4,1,1101,723,61,20
16001012205,16,001,012205,817.45,273.92,18.83,2.81,3.09,1.26,0.98,802.01,277.19,22.58,10.93
16001012206,16,001,012206,1742,762,51,13,5,7,3,1730,760,75,20
16001012207,16,001,012207,2331,734.91,64.02,8.89,10.17,2.07,3.13,2284.52,753.47,63.63,26.26
16001012208,16,001,012208,2120,750,63,16,6,6,9,2066,777,86,29
16001012209,16,001,012209,857.39,348.1,31.65,4.94,5.93,3.96,0.99,793.11,379.74,44.5,17.8
16001012210,16,001,012210,1175,468,58,8,3,4,2,1089,520,59,28
16001012211,16,001,012211,1472.21,419.09,55.4,6.07,9.07,2.04,2.02,1402.73,475.26,48.56,18.21
16001012212,16,001,012212,1472.61,435.97,43.68,7.94,7.95,4.96,1.99,1420.99,454.82,61.55,20.84
16001012213,16,001,012213,121.41,14.47,3.26,0.01,0.02,0.02,0.02,117.93,15.02,2.34,2.09
16001012214,16,001,012214,917.81,290.15,21.87,1.99,6.95,0,2.98,891.03,296.09,31.78,8.95
16003039001,16,003,039001,204.69,43.67,0.33,0.04,0.02,0.02,0.05,194.96,39.41,3.33,2.14
16003039002,16,003,039002,415.78,104.22,11.64,0.04,0.07,1.01,1.93,382.37,133.18,10.1,5.09
16003039003,16,003,039003,475.25,130.66,3.94,0.99,0.98,1.93,0,439.47,137.42,22.23,13.54
16003039004,16,003,039004,92,10,0,0,1,0,0,91,6,2,4
16003039005,16,003,039005,644.66,255.12,16.03,2.99,3.96,2.99,1.01,619.96,260.49,21.4,20.88
16003039006,16,003,039006,111.44,52.2,2.03,0.99,0.02,0.02,0,103.42,53.21,3.08,0.13
16005052834,16,005,052834,361,227,4,2,3,2,4,357,213,22,2
16005052835,16,005,052835,339.85,274.26,9.94,0,0,0,2.98,333.88,262.34,16.89,3.97
16005052836,16,005,052836,467,223,14,3,5,0,3,447,223,19,10
16005052837,16,005,052837,423,200,18,3,3,0,0,423,188,20,5
16005052838,16,005,052838,525.15,333.74,12.06,9,3,2,0.02,538.12,291.66,24.11,7.03
16005052839,16,005,052839,396.35,266.95,17.98,1,3.55,0.55,4.22,387.47,241.53,24.31,8.32
16005052840,16,005,052840,427.33,183.46,14.54,0,4.04,4.04,1.62,391.81,187.47,31.5,9.69
16005052841,16,005,052841,84.34,47.34,3,0.42,0.41,0.41,0.42,81.07,46.74,5.39,1.41
16005052842,16,005,052842,443.99,311.25,16.48,4.58,0,0,2.75,447.65,300.26,23.8,4.58
16005052843,16,005,052843,485.01,279,14,1,5,0,0,442.01,302,31,12
16005052850,16,005,052850,493.62,188.86,9.99,1,3,2,2,486.63,190.85,18.99,4
16005052851,16,005,052851,728.38,283.14,24.01,6,2,9,2,689.37,350.15,36.01,12
16005052852,16,005,052852,597.55,208.21,33.61,2.8,9.34,0,2.8,562.07,213.81,50.42,19.61
16005052853,16,005,052853,716,442,51,5,7,2,2,679,465,48,24
16005052854,16,005,052854,610.08,175.61,12.31,3.17,10.58,0,0.2,588.7,179.99,27.39,8.34
16005052855,16,005,052855,697.75,323.34,21.81,6.26,2.18,0,0.09,649.06,349.98,35.95,7.82
16005052856,16,005,052856,439.09,210.1,15.92,2.99,6.94,0,0,430.02,212.16,30.83,6.96
16005052857,16,005,052857,559.25,109.73,18.13,2.72,1.81,0,0.91,551.09,136.02,19.94,8.16
16005052858,16,005,052858,367,159,8,3,2,7,0,341,191,8,7
16005052859,16,005,052859,423.37,114.12,8.01,1.02,0,5,1,404.3,157.13,5.02,16.01
16005052860,16,005,052860,288.51,863.53,9.98,13.98,2,0,2.99,229.61,876.51,13.98,3.99
16005052861,16,005,052861,542.82,75.42,2,2.98,1.98,4.94,0.99,511.07,91.36,23.78,9.94
16005052862,16,005,052862,458.98,63.77,2,4.96,0.01,1.98,0,433.19,91.53,18.85,9.91
16005052863,16,005,052863,550.03,188.85,17.94,2.98,9.95,6.95,0,534.01,209.78,26.97,11.96
16005052864,16,005,052864,578.15,143.97,7.99,3.02,1.99,0.01,0,561.04,162.09,14.08,3.05
16005052865,16,005,052865,747.35,143.25,14.19,3,5.05,0.01,0,693.01,216.42,29.44,12.12
16005052867,16,005,052867,457.43,132.98,8.14,0.17,2,0.12,0.06,432.25,141.93,18.68,5.24
16005052868,16,005,052868,81,4,2,0,0,0,0,75,6,3,0
16005052901,16,005,052901,192.68,120.07,5.03,1.44,0,0,0,177.58,138.04,8.63,2.16
16005052902,16,005,052902,437.65,251.03,13.13,2.06,5.99,0.01,2.02,413.72,250.82,30.15,9.04
16005052903,16,005,052903,370.99,175.53,16.05,2.44,3.75,0,0,360.4,203.2,10.88,5.54
16005052904,16,005,052904,401.77,459.37,26.16,5.27,1.75,0.01,0.04,369.74,461.7,40.97,7.87
16005052905,16,005,052905,498.47,388.84,10.25,4.73,3.15,3.94,1.58,428.27,420.38,31.55,17.35
16005052906,16,005,052906,252.04,265.02,20.68,4.14,2.77,2.92,2.5,219.17,302.93,24.62,6.2
16005052907,16,005,052907,198.42,165.35,6.23,1.53,1.8,1.18,0.53,172.88,177.66,14.3,5.83
16005052908,16,005,052908,270.37,273.04,23.46,4.68,3.61,3.98,3.43,231.67,324.87,25.97,6.96
16005052909,16,005,052909,411,383.01,20.11,0.87,6.12,0,0,370.77,399.63,36.73,7
16005052910,16,005,052910,462.51,261.34,20.68,10.34,12.22,1.88,3.76,429.61,317.74,32.9,13.16
16005052911,16,005,052911,587.36,379.24,23.05,5.01,11.01,0.02,2.02,542.28,428.17,37.17,6.03
16005052912,16,005,052912,444,252,25,1,2,0,4,421,268,30,11
16005052913,16,005,052913,338.4,199.06,9.95,2.99,0,1.99,3.98,294.61,230.91,23.89,7.96
16005052914,16,005,052914,340.55,271.14,31.66,3.53,4.61,0.1,0.21,321.93,291.95,35.37,1.75
16005052915,16,005,052915,444.22,336.66,16.93,4.98,3.98,0,0,415.33,346.62,39.84,10.96
16005052917,16,005,052917,335.24,303.71,12.99,3,1.99,4.99,5,314.12,287.92,41.94,8.01
16005052918,16,005,052918,495.93,283.88,13.14,3.03,4.06,5,5,473.85,299.9,22.28,11.06
16005052919,16,005,052919,295.46,254.02,40.54,2.7,0,2.7,0,282.85,281.05,28.83,5.4
16005052920,16,005,052920,366.27,280.04,24.64,4.11,4.93,0,1.64,332.6,321.11,30.39,6.57
16005052921,16,005,052921,235.29,201.22,18.63,6.39,2.13,1.6,0,223.04,220.38,17.03,9.05
16005052922,16,005,052922,318.98,265.72,26.2,6.8,2.94,1.7,0.36,299.51,294.47,24.75,9.98
16005052923,16,005,052923,299,297,12,1,9,0,2,270,325,22,3
16005052924,16,005,052924,77.63,101.28,5.05,0.61,0.81,0,0,66.1,103.91,8.49,3.03
16005052925,16,005,052925,306.35,399.69,19.94,2.39,3.19,0,0,260.88,410.07,33.51,11.97
16005052926,16,005,052926,145.37,264.31,19.09,5.87,6.61,1.47,2.94,133.62,289.27,16.15,5.87
16005052927,16,005,052927,189,408,26,1,2,3,2,214,345,20,0
16005052928,16,005,052928,627.93,633.6,37.5,15.27,5.67,1.98,8.06,625.7,590.75,59.18,17.13
16005052931,16,005,052931,226.32,325.59,17.65,4.02,4.92,0.53,1.06,211.33,330.84,13.43,7.18
16005052932,16,005,052932,101.32,134.11,6.26,1.11,1.47,0,0,95.05,131.89,4.42,2.95
16005052966,16,005,052966,389.18,173.17,8.25,3.78,4.65,0.11,2.89,385.46,179.18,20.41,6.27
16007072905,16,007,072905,206.56,18.83,0.31,2.17,0,0.1,1.19,198.24,14.57,8.66,4.65
16007072916,16,007,072916,82,9.34,2.02,0,0,0.01,0,74.88,7.35,5.09,1.05
16007073201,16,007,073201,359.97,43.88,2.69,1.79,0,0.9,1.79,347.44,49.25,7.16,6.27
16007073202,16,007,073202,307.83,45.81,5.5,0.92,0,2.75,0,306.92,38.48,12.83,7.33
16007073203,16,007,073203,398.06,53.66,0.12,0.97,1.94,1.94,0,374.32,67.7,13.58,5.94
16007073206,16,007,073206,79.6,17.65,0.88,0.07,0.06,0.06,0.02,82.2,14.49,0.6,1.14
16007073207,16,007,073207,139.72,12.07,2.01,0.01,0,0,1,128.68,15.07,2.03,3.03
16007073208,16,007,073208,193.28,21.04,0.5,0.08,0,1.25,0,186.27,20.91,4.64,1.6
16007073209,16,007,073209,142,45,0,1,0,0,0,138,45,3,4
16007073210,16,007,073210,48.89,2.15,0,0,0,0,0,47.81,1.61,0.54,1.07
16007073211,16,007,073211,357.86,31.63,0.99,0.99,0,0.99,0,337.1,33.61,11.86,8.9
16007073212,16,007,073212,184.23,15.49,0.01,0.99,0.8,0.01,0,179.62,12.1,6.42,4.8
16007073213,16,007,073213,262.09,18.17,8.01,0.01,0.01,0,0,244.97,20.16,9.08,9.07
16007073215,16,007,073215,134.28,13.93,1.99,1.99,0,0,0,126.32,13.93,4.97,4.97
16009095001,16,009,095001,250.12,72.51,3.27,2.5,1.47,1.12,0.24,225.6,83.21,9.18,10.17
16009095002,16,009,095002,309.14,74.02,5.43,1.61,0.97,0.1,0.08,298.01,72.75,8.68,5.82
16009095003,16,009,095003,433.68,95.59,7.47,1.3,1.13,0.96,0.03,407.42,99.9,10.8,9.37
