state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_dem_bid,pre_20_rep_tru,uss_16_rep_ayo,uss_16_dem_has,uss_20_dem_sha,uss_20_rep_mes,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,gov_20_dem_fel,gov_20_rep_sun,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
33,001,ALTO01,5250,5120,4,59,7,15,2,0,43,4140,4056,4,36,7,12,0,0,25,2203.5,1153.7,1437.9,2423,2206.2,1194.8,1599,2218.7,2166.1,1164.2,1932.4,746.2,757.4,3093.6,1169.2,746.2,1263.5,2194.8,1932.4,2580.3,1151.8,2319.1
33,001,BARN01,4593,4448,20,35,12,15,0,2,61,3475,3387,14,18,10,12,0,0,34,1516.5,921.5,1146.5,1693.4,1449.3,1030.4,1306,1524.3,1449.3,1015.2,1243.1,695.4,659.9,2175.5,989.8,695.4,1038.1,1471.2,1243.1,1798.5,967.5,1577.8
33,001,BELM01,7356,7070,29,98,11,49,3,6,90,5750,5582,16,52,11,39,3,1,46,2188.2,1269.7,1606.9,2360,2003.2,1499.7,1872.9,2019.5,2041.5,1408.4,1814.1,855.6,812.3,3127.6,1393.5,855.6,1430.1,2077.3,1814.1,2502.8,1332.7,2221.3
33,001,CENT01,1096,1054,3,16,2,12,2,1,6,907,877,1,14,2,5,2,1,5,357,324.1,379.1,406.6,366.8,327.8,393.2,378.1,382.8,306.4,373.8,225.6,224,551.8,319.7,225.6,331.6,369.1,373.8,445.6,311.7,402.3
33,001,GILF01,7126,6899,21,93,4,49,2,2,56,5639,5514,15,47,4,24,2,1,32,2519.3,1986.5,2509.8,2751.4,2512.3,2079.9,2722.2,2475.4,2568.6,1923.1,2312,1411.4,1373.6,3798.1,1995.1,1411.4,2202.4,2531,2312,3008.5,1999,2706.4
33,001,GILM01,3777,3672,3,22,3,27,0,3,47,2933,2862,3,18,2,20,0,3,25,1334.3,788.6,1020.2,1424.7,1241.3,897.6,1152.3,1264.1,1241.2,868.4,1117.5,592.3,620.9,1809.6,852.3,592.3,930.4,1271.5,1117.5,1498.7,850,1347
33,001,LACO01,2956,2805,31,55,8,20,0,4,33,2447,2355,19,32,6,14,0,2,19,918.2,678.9,848.6,1024.8,931,721.2,935.8,907.1,942.3,672.3,865,478.3,465.4,1397.9,690.2,478.3,749.7,930.1,865,1110.6,686.2,999.2
33,001,LACO02,2726,2514,19,33,16,91,0,0,53,2127,1989,12,18,14,66,0,0,28,596.1,457,585.3,665,556.3,504.5,643.7,581,566.8,457,496.6,337.3,335.9,896,473,337.3,522,573,496.6,713.7,474.2,622.3
33,001,LACO03,2304,2109,27,32,3,104,0,0,29,1844,1701,21,23,3,82,0,0,14,537,566.2,732.5,548.2,559,584.8,737.6,488.7,555.2,558.2,510.9,406,419.6,862.1,569.9,406,630,550.4,510.9,633.1,572.2,580
33,001,LACO04,2657,2508,10,44,11,39,0,0,45,2107,2005,8,25,11,30,0,0,28,633.7,490.7,671.6,683.5,556.7,600.5,735,589.5,587.2,544.4,523.6,374.2,386.7,953.7,544.5,374.2,597.7,592.8,523.6,742.9,543.7,646.7
33,001,LACO05,2628,2419,27,53,8,98,0,0,23,1971,1844,15,30,6,68,0,0,8,560.8,416,440,608.1,478.7,481.2,510,519.6,523.4,430.1,418.1,270.8,245.5,814,442.3,270.8,398.3,520.8,418.1,647.2,399.1,560.7
33,001,LACO06,2680,2557,22,33,8,37,0,1,22,2203,2122,14,20,6,27,0,1,13,1045.6,683.1,864.1,1115.6,976.3,786.8000000000001,951.1,1007.3,1007.9,732.8,901.9,506.6,475.9,1507,733.8,506.6,764,1009.5,901.9,1210.3,714.6,1080.8
33,001,MERE01,6241,6022,17,66,9,57,0,7,63,5083,4957,8,37,8,35,0,4,34,2156.7,1707.3,2136.6,2206.6,2230.6,1758.9,2323.8,1963.5,2206.6,1704.7,1975.8,1215.8,1185.2,3135.8,1722.4,1215.8,1882.3,2199.2,1975.8,2437,1718.3,2268.8
33,001,NEWH01,2165,2078,8,20,2,17,0,1,39,1678,1625,5,14,1,11,0,1,21,739.7,546.8,699.3,813.1,743.2,562.8,765.6,724,705.1,591,656,453.9,440.8,1068.5,566.2,453.9,634.7,729.8,656,869.1,581,777.7
33,001,SANB01,2966,2870,7,27,8,16,0,1,37,2373,2305,6,17,8,12,0,1,24,1033.1,745.8,872.7,1132.2,992.5,838.3,989.7,1000.7,974.3,825.7,913.5,578.7,556.8,1427.9,803.4,578.7,806.6,999.9,913.5,1186.4,771.9,1067.7
33,001,TILT01,3567,3408,13,38,7,49,0,2,50,2930,2817,8,22,7,37,0,1,38,974.3,780.8,938.2,1044.9,901.2,873.1,1068.8,879.7,875.3,869.4,800.1,540.9,529.1,1452.6000000000001,841.8,540.9,845.5,916.6,800.1,1126.6,799.7,989.8
33,003,ALBA01,735,707,3,10,4,3,0,0,8,599,578,1,6,4,3,0,0,7,179.7,192,246.20000000000002,187.4,171.79999999999998,208.8,268.1,160.5,169,204.3,144,178.8,159.5,272.3,202.1,178.8,224.4,173.4,144,207.2,208.2,183.3
33,003,BART01,2788,2702,8,25,7,11,0,0,35,2303,2247,6,16,4,6,0,0,24,730,1096.5,1375.4,772.4,810.6,1081,1414.4,712.2,835.7,1019,774.6,911.8,896.9,1231.5,1065.4,911.8,1229.4,793,774.6,905.5,1114.3999999999999,836.2
33,003,BROO01,712,693,0,5,5,0,0,0,9,575,563,0,3,3,0,0,0,6,266.8,158.6,221.3,320.3,265.5,175.6,249.7,286,264.6,162.6,254.8,130.7,130.1,406.7,165.4,130.7,200.4,265.6,254.8,337.5,175.6,294.8
33,003,CHAT01,337,328,0,1,0,1,0,0,7,271,266,0,1,0,1,0,0,3,103.2,79.4,106.5,130.2,107.7,81.7,111.8,119.4,106.5,78.6,93.8,69.8,76.2,163.3,79.8,69.8,98,106,93.8,137,85.7,117.7
33,003,CONW01,10115,9728,32,106,39,95,4,7,104,8121,7855,21,70,30,72,3,6,64,2202.9,2716.6,3376.3,2381.7,2240,2745.8,3540.3,2108.1,2322.4,2478,1872.2,2116.3,2102.6,3557.9,2648.7,2116.3,3005.8,2254.7,1872.2,2683.1,2725.4,2383.8
33,003,EATO01,393,378,2,5,0,2,0,0,6,350,344,1,4,0,0,0,0,1,110.39999999999999,159.5,190.4,119,132.2,157.9,199.5,105.39999999999999,134.5,142.9,120.2,133.2,131.3,174.7,153.8,133.2,174.1,125.2,120.2,133.4,159.5,127.9
33,003,EFFI01,1465,1416,3,19,4,4,0,1,18,1175,1142,3,9,4,3,0,1,13,480.6,317,391,525.5,430.3,352.5,437.9,467.9,437.9,352.5,370.7,245.6,270.9,640,340.9,245.6,365.8,449,370.7,544.4,338.4,478.7
33,003,FREE01,1489,1467,2,8,0,4,0,0,8,1256,1239,2,5,0,4,0,0,6,476.3,425.3,538.1,538.1,484.59999999999997,436.9,582.9,475.4,493.9,412,443.6,347.9,333,731.6,425.3,347.9,485.9,484.8,443.6,582.2,437.5,520.1
33,003,HALE01,120,120,0,0,0,0,0,0,0,117,117,0,0,0,0,0,0,0,96.9,26,31,85,94,28,34,86,95.9,27,86,29,20.1,97.9,27,29,28.4,95.60000000000001,86,89.60000000000001,27.9,91.7
33,003,HART01,41,41,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,14,17.1,23,19.9,17.1,21,21,19,15.1,21,19,15.1,17.1,26,19.6,15.1,20.5,15.4,19,21.5,19.3,18.6
33,003,JACK01,816,797,0,6,1,5,0,0,7,710,695,0,3,1,5,0,0,6,212.5,429.9,567.5,212.5,257,418.2,576.8,205.2,267.6,405.9,226.70000000000002,402.2,424.4,328,418.2,402.2,523.2,245.4,226.70000000000002,248.6,460.3,244.2
33,003,MADI01,2502,2411,23,36,10,2,0,0,20,2002,1959,7,19,6,1,0,0,10,655.8,721.8,926.9,761.1,689,748.3,998.3,688.9,719.1,695.9,605.1,620.6,597,1074.2,722.6,620.6,839.5,688,605.1,842.5,756.3,743.3
33,003,MOUL01,4044,3934,11,42,7,23,0,6,21,3292,3215,5,32,6,17,0,4,13,1887,1145.7,1607.6,1995.6,1949.5,1181.4,1698,1900.6,1951.3,1128.4,1764,860,855.1,2739.9,1149,860,1386.4,1932.5,1764,2215.1,1209.8,2025.5
33,003,OSSI01,4345,4188,10,45,15,25,0,3,59,3520,3403,8,31,14,16,0,3,45,1313.4,786.9,987.5,1510,1221.2,908.2,1094.4,1341.3,1257.1,835.3,1078,566,581.1,1887.9,841.6,566,887.2,1263.5,1078,1577.7,822.7,1372.8
33,003,SAND01,1326,1293,2,6,3,7,1,0,14,1110,1083,2,5,3,5,1,0,11,358.8,577,717.1,412.8,408.5,591.3,740.6999999999999,386,402.4,574.6,391.5,522.8,525.2,584.8,579.8,522.8,662.2,390.4,391.5,461.5,606.2,420.3
33,003,TAMW01,2856,2771,7,21,9,11,0,0,37,2326,2263,5,12,9,10,0,0,27,762.2,739,899.4,837.5,705.5,805,961.6,751,758.4,722.3,677.5,619.9,644.8,1094.4,755.6,619.9,835.4,743.1,677.5,893,770.5,798.6999999999999
33,003,TUFT01,2387,2332,4,12,2,6,0,2,29,1936,1899,2,7,1,4,0,1,22,891.8,673,876.4,1011.9,959.7,670.7,922.5,941.2,968.6,623.4,898.7,526.9,493.3,1387.8,656.4,526.9,764.3,940.3,898.7,1112.9,685,1008
33,003,WAKE01,5078,4910,9,45,9,48,1,6,50,4055,3955,6,28,8,26,1,3,28,1737.4,870,1233.7,1981.3,1619.9,971.2,1413.2,1726.6,1652.1,885.6,1383.7,637,722.5,2530.3,907.9,637,1126.2,1667.9,1383.7,2080,962.5,1804.9
33,003,WOLF01,6269,6069,10,81,7,50,1,0,51,5148,5020,9,44,6,38,1,0,30,2154,1852.8,2332.9,2347.8,2286.2,1843.7,2401.2,2216.2,2346.4,1727,2103.8,1501.1,1452.2,3186.5,1808.2,1501.1,2059.8,2263.1,2103.8,2581.8,1871.9,2376.9
33,005,ALST01,1937,1878,2,16,9,6,0,0,26,1527,1486,2,10,8,5,0,0,16,444.8,522,683.5,476.1,450.5,561.1,709.1,439.1,464.4,528.5,389.9,468.1,501.6,650.3,536.5,468.1,630.5,453.4,389.9,521.3,566.9,473.2
33,005,CHES01,3604,3497,7,38,6,20,0,3,33,2862,2794,5,22,5,19,0,0,17,909.5,1165.8,1390.6,957.8,933.4,1188.1,1419.8,860.2,977,1107.6,823.9,999.2,1051.6,1281.4,1153.8,999.2,1287.6,940.1,823.9,1032.8,1188.5,963.5
33,005,DUBL01,1597,1532,3,28,4,12,1,0,17,1267,1224,2,24,3,5,1,0,8,371.4,598.5,688.7,404.2,418.1,593.8,693.2,384.9,398.3,589.1,372.3,507.1,493.6,588.8,593.8,507.1,625.3000000000001,396.1,372.3,460.2,594.5,419.7
33,005,FITZ01,2396,2304,3,16,8,15,1,0,49,1895,1837,2,9,8,14,1,0,24,623.3,576,667,682.5,598,592.5,719.5,595,604.9,573,498,484.4,441.9,833.5,580.1,484.4,610.8,608.7,498,703.4,578,634.5
33,005,GILS01,813,793,1,5,1,6,0,0,7,657,644,1,2,1,5,0,0,4,231.6,197.1,239.7,262.8,198.5,225,272.1,220.20000000000002,207.6,217.4,194.3,162.9,159.8,336.9,213.79999999999998,162.9,224.29999999999998,212.3,194.3,273,209.7,235.9
33,005,HARR01,961,943,4,6,0,3,0,0,5,827,815,2,5,0,2,0,0,3,201.29999999999998,445.1,551.2,200.6,212.6,452.1,563,171.9,201.29999999999998,458.5,172.7,447.8,431.4,314.8,451.7,447.8,514.5,204.4,172.7,230.1,479.4,210.2
33,005,HINS01,4046,3868,20,56,10,21,11,1,59,3190,3087,14,27,5,15,11,1,30,732.9,916.9,1048.1,829.1,669.9,973.5,1139.7,666.7,701.5,924.1,576.3,724.9,712.8,1098.7,937.5,724.9,966.2,701.5,576.3,864.7,919.9,753.7
33,005,JAFF01,5457,5182,17,90,7,65,2,4,90,4150,3975,12,52,7,49,2,2,51,1280.3,1306.6,1523.3,1406.6,1308.8,1360,1671.9,1245.5,1295.4,1295.4,1153,1042,1052.3,1897.4,1319.3,1042,1416.1,1295.1,1153,1517.5,1321.3,1370.5
33,005,KEEN01,5453,5209,42,81,12,48,1,3,57,5127,4910,37,70,10,42,1,3,54,780.8,1757.7,1651.2,581.8,753.8000000000001,1806.2,1579.3,475.4,827.2,1574,428.7,1345.8,1136.1,945.9,1713.1,1345.8,1455.5,787,428.7,667.3,1549.7,684.7
33,005,KEEN02,4585,4335,26,75,9,71,0,8,61,3730,3560,21,46,8,58,0,7,30,676,1588.4,1784.5,696.5,647.7,1637.8,1806.9,608.6,679.8,1553.3,517.8,1323.3,1343,1130.1,1593.3,1323.3,1645,668.1,517.8,811.9,1576.8999999999999,707.6
33,005,KEEN03,4404,4107,35,80,7,105,0,7,63,3509,3332,27,47,6,67,0,2,28,689.1,1332.7,1586.7,749,702.6,1366.5,1654.5,658.5,721.5,1295.8,589.8,1123.3,1146.5,1165.1,1332,1123.3,1462.4,703.4,589.8,857.8,1357.9,753.5
33,005,KEEN04,3185,2944,20,50,2,134,0,1,34,2591,2425,18,34,2,94,0,1,17,553.5,1105.8,1344,643.3,561.6,1131.7,1399.4,548.8,577.2,1058.3,476.1,934.3,983,975.2,1098.7,934.3,1241.9,564.4,476.1,722.4,1136.7,619.3
33,005,KEEN05,5782,5490,18,86,8,112,0,10,58,4570,4383,7,49,8,86,0,7,30,1129.8,2143.6,2596.9,1092.7,1226.7,2153.7,2682.8,935.3,1264.7,2004.5,887.2,1808.7,1885.7,1747.4,2100.7,1808.7,2388.5,1207.8,887.2,1258.8,2182.2000000000003,1183.2
33,005,MRLB01,2063,1982,7,29,1,15,0,1,28,1655,1598,2,18,1,14,0,1,21,410.3,714.3,809.6,443,409.6,734.6,845.4,390.9,400.4,708.5,320.9,605.6,542.9,685.6,718.2,605.6,732.4,407.5,320.9,506.1,709,436
33,005,MRLW01,742,717,0,14,2,0,0,1,8,619,598,0,10,2,0,0,1,8,199.9,219.1,276.6,206.9,203,231.5,288.9,184.1,194.8,228.5,178.5,181.1,195.5,284.1,226.6,181.1,253.6,199.4,178.5,224.8,231.4,207.29999999999998
33,005,NELS01,729,703,0,10,0,4,0,0,12,590,573,0,9,0,2,0,0,6,137.8,259.4,275.2,164.3,156,269.9,289.1,151.9,156,245,117.5,236.5,223.3,208.2,258.7,236.5,262.6,150,117.5,175.4,257.3,156
33,005,RICH01,1155,1102,2,27,8,3,0,0,13,877,848,2,11,5,3,0,0,8,356.2,268.1,292.3,412.9,341.1,279.3,308.6,374.5,323.5,267.4,293.1,216.3,198.3,485.6,271.1,216.3,266.1,340.9,293.1,424.7,262.1,369.3
33,005,RIND01,6014,5699,73,77,8,54,0,13,90,4812,4560,65,69,8,46,0,13,51,1960.6000000000001,1291.7,1443.9,2144.3,1954.1,1294.7,1509.5,1988.9,1990.2,1208,1580.1,933,931.8,2579.8,1264.8,933,1293.9,1967.1,1580.1,2237.3,1229.4,2027.6
33,005,ROXB01,229,218,0,3,0,2,0,0,6,188,183,0,1,0,2,0,0,2,48,59.9,75.9,42.8,45.5,62.3,78.8,35.6,40.7,55.8,29.9,63,59.1,52.3,59.5,63,71.1,44.8,29.9,43.2,64.8,42.2
33,005,STOD01,1232,1163,6,20,15,7,0,1,20,969,924,3,8,15,6,0,1,12,378.7,349.9,419.4,430,374.3,358.8,463.3,395.5,362,372.4,324.9,278.1,353.4,553.5,359.8,278.1,412.6,372.3,324.9,459.4,371.9,402.3
33,005,SULL01,677,665,1,3,0,4,0,0,4,551,543,1,2,0,3,0,0,2,181.6,208.2,231.8,195,189.6,222.9,251.2,160.70000000000002,183.6,214.5,159.5,167.9,151.2,258.9,215.3,167.9,211.2,184.8,159.5,204.8,206.9,189.7
33,005,SURR01,732,714,1,4,0,9,0,0,4,608,590,1,4,0,9,0,0,4,243.20000000000002,236.6,305.6,250.8,239.29999999999998,256.7,328.8,208.4,238.7,250.8,193.4,195.9,206.4,338.8,247.8,195.9,280.5,240.1,193.4,266.4,254.4,244.20000000000002
33,005,SWAN01,7230,6871,22,107,11,124,2,4,89,5757,5518,16,60,8,98,2,2,53,1829.3,1812.3,2009.9,1763.1,1741,1905.8,2203.3,1539.8,1803.9,1766.1,1485.3,1397.6,1299.7,2405.4,1827.2,1397.6,1838,1792.9,1485.3,1900.4,1770.8,1795.9
33,005,TROY01,2145,2058,17,28,13,18,1,0,10,1650,1606,11,11,4,13,1,0,4,509.3,421.8,509.3,583.4,452.40000000000003,486.1,555,496.2,466.1,446.1,389,329.9,319.8,753.8,450.6,329.9,461.6,475.4,389,611.2,438.6,520.9
33,005,WALP01,3734,3599,10,50,3,19,0,0,53,2919,2835,8,32,3,14,0,0,27,755.8,1167.7,1468.8,833.7,800.7,1223.3,1520.2,745,853.9,1145.9,739.1,1000.6,997.4,1282.1,1177.3,1000.6,1328.3,802.8,739.1,953.2,1217.8,859
33,005,WEST01,1874,1838,6,13,5,9,0,0,3,1559,1533,6,9,5,4,0,0,2,411.1,554.8,659.4,453.3,427.8,548.5,709.2,387.6,434.2,528,372,494.6,467.4,629.4,544.3,494.6,612.3,424.5,372,490.1,566.6,445.5
33,005,WINC01,4341,4126,20,78,22,24,0,4,67,3349,3213,16,38,19,19,0,2,42,828.5,842.1,987.2,989.2,722.9,892.3,1091.1,815.5,736.1,852.8,618.3,683.7,690.6,1222.3,861.6,683.7,924.4,761.8,618.3,1007,862.2,848.3
33,007,ATGT01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,BERL01,2238,2158,12,33,2,5,0,1,27,1787,1740,6,16,2,4,0,1,18,384.4,424.9,468.2,403.8,357.3,471.6,529.5,321.5,357.3,448.1,309.2,296,301,554.7,448.4,296,433,366.7,309.2,426.7,420.4,384.2
33,007,BERL02,2335,2250,6,31,13,6,0,0,29,1854,1799,4,20,10,2,0,0,19,399.4,441.2,485.1,418.4,370.7,489.7,549.2,333.6,370.7,465.1,320.90000000000003,307.1,311.7,576.1,465.3,307.1,448.8,380,320.90000000000003,442.5,435.7,398.9
33,007,BERL03,3193,3004,53,69,8,14,0,3,42,2775,2616,49,62,7,11,0,3,27,597.4,660.8,726.3000000000001,626.7,554.8,732.9,822.3,499.2,554.8,695.9,480.4,460.2,467,861.5,696.9,460.2,672,569,480.4,662.2,652.9,596.1
33,007,BERL04,2285,2185,9,19,10,3,0,4,55,1789,1733,4,7,8,3,0,1,33,385.4,426,467.7,403.8,357.8,472.5,530,321.9,357.8,449,309.2,296.09999999999997,301.3,555.4,449.2,296.09999999999997,432.8,367,309.2,427.3,420.5,385.1
33,007,BGRT01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,BPUR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,CAMB01,8,8,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,1,1,3,4,1,1,3,4,0,2,2,0,0,7,1.3,0,2,0.7,2,5,1.5,2.7
33,007,CARR01,763,699,14,11,2,18,0,4,15,644,588,14,10,2,18,0,3,9,245.4,213.3,265.7,266.4,239.5,227.5,300.2,228.1,248.6,217,228.1,163.4,158.6,372,218.5,163.4,241.7,245,228.1,289.3,220.6,260.3
33,007,CHAN01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,CLAR01,265,260,0,0,1,0,0,0,4,229,226,0,0,1,0,0,0,2,93.39999999999999,67.4,70.9,106.7,84.10000000000001,76.8,78.7,91.6,84.10000000000001,76.8,68.3,50.2,38.5,130.2,74,50.2,62.7,86.8,68.3,109.2,65.7,94
33,007,COLE01,2301,2227,5,27,1,15,0,0,26,1853,1803,3,19,1,12,0,0,15,592.4,359.1,418.1,629.8,568.2,414.5,475.2,555.9,542.6,408.5,444.6,284.9,238.8,807.6,394.8,284.9,376.9,567.6,444.6,663.1,370.6,591.5
33,007,COLU01,757,741,0,2,1,3,0,0,10,626,612,0,2,1,2,0,0,9,217.9,108.5,113.9,235.6,212.79999999999998,124.4,147.9,197.8,210,111.7,162,89,69.7,287.1,114.7,89,111.1,213.29999999999998,162,240,109.8,217.3
33,007,CRAW01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,CUTT01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,DALT01,979,936,4,14,3,6,0,0,16,794,763,4,7,3,5,0,0,12,282.9,194,234.4,299.4,275.8,211.70000000000002,269.3,261.2,265.5,195.7,234.9,142.4,141,375.1,199.7,142.4,215.4,274.7,234.9,312.7,197.2,284.7
33,007,DIXG01,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,DIXV01,12,9,0,0,0,3,0,0,0,11,9,0,0,0,2,0,0,0,2,4.1000000000000005,5.1,0,4.1000000000000005,4.1000000000000005,4.1000000000000005,1,5.9,2,2,2,1,4.1000000000000005,3.3,2,3.3,4.1000000000000005,2,1.8,3.2,2.8
33,007,DUMM01,304,297,0,1,0,0,0,0,6,251,246,0,1,0,0,0,0,4,99.2,65.1,66.9,113.2,100.2,71.2,82.4,93.4,92.8,78.9,63.2,59,53,127.9,71.5,59,67.3,97.3,63.2,111.7,67.8,99
33,007,ERRO01,291,272,7,4,1,0,0,0,7,265,251,6,2,1,0,0,0,5,134.79999999999998,53.7,71,143.8,115.8,71.8,79.3,131.1,122.89999999999999,60.199999999999996,108.8,52.300000000000004,28.8,183.2,62,52.300000000000004,59.4,124.6,108.8,152.9,59.4,134.5
33,007,ERVI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,GORH01,2848,2743,3,25,5,31,0,0,41,2295,2235,2,13,3,26,0,0,16,691.5,769.6,905,748.1,663.7,827.7,1011.8,615.6,678,768.5,579.9,566.2,564.3,1064.8,788.2,566.2,827,678,579.9,809.9,772.4,720.8
33,007,GRGT01,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0.7,0,1,0.3,0.7,0.3
33,007,HADL01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,JEFF01,1107,1088,2,2,4,2,0,3,6,903,888,1,2,4,2,0,2,4,357.6,216.6,257.5,393.9,348.9,242.3,302.1,331.2,336.5,242.3,310.8,180.4,162.2,489.2,234.1,180.4,240.7,348.1,310.8,404.8,229.4,366.5
33,007,KILK01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,LANC01,3507,3357,11,60,20,21,1,3,34,2738,2650,8,35,12,14,1,3,15,840.3,657.7,818,873.9,865.8,689.6,900.8,767.4,816.1,697,657.7,547.6,489.9,1188.8,682,547.6,736.5,840.3,657.7,943.5,687,858.7
33,007,LOWB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,MART01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,MILA01,1337,1314,1,7,6,2,0,1,6,1092,1080,1,4,3,2,0,0,2,414.40000000000003,297.9,345.3,436.8,374.4,352.8,420.1,363.6,385.1,327.6,327.6,227.6,203.8,578.1,326.6,227.6,323.7,391,327.6,459.8,310.9,411.6
33,007,MILL01,23,23,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,16,4,5.1,16,16,3.1,6.9,15,18,3.1,16,3.1,0,22.1,3.4,3.1,4,16.7,16,17.7,3.5,17
33,007,NORU01,2288,2246,2,15,2,3,0,0,20,1804,1776,2,9,2,2,0,0,13,540,386.8,424.3,613.8,459.1,481.5,516.3,504.3,484.3,417,404.1,268.4,237.6,794.8,429.3,268.4,393.5,494,404.1,636.7,389.4,541.7
33,007,ODEL01,4,3,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,PINK01,9,6,0,0,0,3,0,0,0,9,6,0,0,0,3,0,0,0,0,3,1,0,1,3,1,0,0,3,0,1,1,0,3,1,1,0.3,0,0,1.9,0.1
33,007,PITB01,869,853,0,5,0,1,0,0,10,734,723,0,1,0,1,0,0,9,343.8,121.89999999999999,157.9,381,323.2,145.6,193.5,341.3,321.5,134.20000000000002,306.6,73.8,67.6,474.7,134.1,73.8,140.7,328.2,306.6,399.2,126.9,357.7
33,007,RAND01,310,299,0,1,4,2,0,0,4,278,269,0,1,2,2,0,0,4,79.1,160.7,185.70000000000002,83.3,89.3,165.3,199.7,73.8,93.2,153.5,71.7,143.6,127.7,142.9,160.5,143.6,171.4,86.6,71.7,100.4,162.5,89.8
33,007,SARG01,3,2,0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,SECO01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,SHEL01,372,368,0,1,2,0,0,0,1,320,318,0,0,2,0,0,0,0,115.9,125.1,130.9,122.3,126.5,122.3,137.1,108.3,121.3,119,111.9,95.5,84.9,160,122.3,95.5,117.4,121.3,111.9,130.1,116.5,123.7
33,007,STAR01,556,534,0,6,6,1,0,0,9,456,444,0,2,6,0,0,0,4,185.4,97.2,106.4,187.5,160.8,121,135.6,147.1,149.3,118.5,142.7,80.9,60.9,227.6,112.3,80.9,101.3,165,142.7,187.3,103.7,171.5
33,007,STEW01,1004,982,1,11,3,0,0,0,7,802,792,1,3,3,0,0,0,3,231.7,95.1,116.8,290.8,211.7,124,155.5,234.7,191.2,129.1,165.5,81.4,64.8,325.40000000000003,117,81.4,112.4,211.4,165.5,283.9,109.8,236.4
33,007,STRT01,746,710,3,10,4,7,0,0,12,607,578,3,6,4,5,0,0,11,125.7,132.2,158.4,140,97.5,149.8,172.2,120.3,105.7,143.7,92.3,109.10000000000001,89.8,199.1,141.7,109.10000000000001,140.4,109.6,92.3,153.1,137,125.60000000000001
33,007,SUCC01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,007,THOM01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
