GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
54001009655,54,001,009655,3606,3545,37,11,11,2,0,2646,2603,28,8,6,1,0,1073.46,1384.68,63292,93588,00030,4,1
54001009656,54,001,009656,3842,3637,78,41,58,21,7,3034,2879,62,30,41,17,5,1230.87,1587.72,63292,92328,00030,4,1
54001009657,54,001,009657,4608,4467,30,21,80,7,3,3387,3292,22,14,55,2,2,1374.08,1772.45,63292,92328,00030,4,1
54001009658,54,001,009658,3643,3608,2,16,11,5,1,2666,2643,1,12,8,2,0,1081.58,1395.15,5788,92892,00030,4,1
54003009711,54,003,009711,6044,5938,60,25,6,14,1,4375,4304,42,13,6,9,1,251.95,286.01,NA,91092,00060,4,2
54003009712,54,003,009712,7524,7359,76,49,14,25,1,5368,5268,50,23,13,13,1,309.13,350.93,36220,91596,00060,4,2
54003009713,54,003,009713,5206,4946,180,30,13,35,2,3887,3712,122,20,10,23,0,223.84,254.11,52060,92388,00060,4,2
54003009714,54,003,009714,3744,3632,85,12,1,14,0,2818,2730,67,10,1,10,0,162.28,184.22,52060,92388,00060,4,2
54003009715,54,003,009715,3825,3336,426,30,10,18,5,2879,2541,305,18,4,11,0,165.8,188.21,52060,92100,00060,4,2
54003009716,54,003,009716,4631,4002,499,81,6,34,9,3524,3094,342,59,4,24,1,202.94,230.38,52060,92100,00060,4,2
54003009717,54,003,009717,5435,5100,246,45,7,33,4,4235,4028,155,24,7,21,0,243.88,276.86,52060,92100,00060,4,2
54003009718,54,003,009718,4717,4650,27,18,9,12,1,3314,3262,22,12,7,10,1,190.85,216.65,NA,91200,00060,4,2
54003009719,54,003,009719,4989,4836,92,44,7,9,1,3652,3538,68,30,6,9,1,210.31,238.75,NA,90060,00060,4,2
54003009720,54,003,009720,5578,5078,406,26,4,60,4,4254,3893,301,20,3,36,1,244.98,278.1,52060,90060,00060,4,2
54003009721,54,003,009721,7560,7397,94,39,8,22,0,5488,5377,70,23,4,14,0,316.04,358.77,40204,92172,00060,4,2
54005009582,54,005,009582,4050,4039,0,9,1,1,0,2965,2954,0,9,1,1,0,697.87,463.05,20212,90832,00090,3,3
54005009583,54,005,009583,4128,4120,2,5,1,0,0,2976,2970,2,4,0,0,0,700.46,464.76,20212,90832,00090,3,3
54005009584,54,005,009584,2218,2194,9,1,2,12,0,1656,1641,3,1,1,10,0,389.77,258.62,50524,90832,00090,3,3
54005009585,54,005,009585,7300,7195,77,9,9,6,4,5328,5262,50,5,7,4,0,1254.05,832.08,50524,90762,00090,3,3
54005009586,54,005,009586,2389,2359,18,6,6,0,0,1767,1744,13,4,6,0,0,415.9,275.95,86836,90762,00090,3,3
54005009587,54,005,009587,2584,2580,1,0,3,0,0,1911,1908,0,0,3,0,0,449.79,298.44,NA,90794,00090,3,3
54005009588,54,005,009588,3201,3065,107,18,7,0,4,2261,2174,74,7,5,0,1,532.17,353.1,50524,90794,00090,3,3
54007009680,54,007,009680,4204,4178,7,10,2,6,1,3130,3114,6,5,1,4,0,1558.99,1006.94,30220,93597,00120,3,2
54007009681,54,007,009681,4377,4327,29,10,5,4,2,3214,3180,23,2,5,3,1,1600.83,1033.97,78580,92922,00120,3,2
54007967998,54,007,967998,4417,4367,10,17,10,13,0,3289,3259,10,8,7,5,0,1638.18,1058.09,11716,92346,00120,3,2
54009000301,54,009,000301,1371,1368,1,0,0,2,0,1104,1103,0,0,0,1,0,165.64,137.85,85156,93552,00150,2,1
54009000302,54,009,000302,1481,1422,48,7,0,2,2,1209,1175,30,3,0,1,0,181.39,150.97,85156,93552,00150,2,1
54009000308,54,009,000308,1066,1041,5,1,0,19,0,845,828,3,1,0,13,0,126.78,105.51,85156,93552,00150,2,1
54009000311,54,009,000311,6230,6151,31,26,8,13,1,4659,4599,23,19,7,11,0,699.01,581.76,28204,91104,00150,2,1
54009000312,54,009,000312,3943,3909,4,18,5,6,1,3047,3023,4,13,2,5,0,457.15,380.47,28204,91104,00150,2,1
54009000313,54,009,000313,2850,2822,9,11,5,1,2,2104,2086,9,6,2,1,0,315.67,262.72,NA,90708,00150,2,1
54009000314,54,009,000314,3385,3316,61,4,1,3,0,2732,2684,44,3,0,1,0,409.89,341.14,85324,93564,00150,2,1
54009000316,54,009,000316,3646,3562,39,17,10,12,6,2907,2831,37,16,7,12,4,436.15,362.99,6844,90264,00150,2,1
54009000317,54,009,000317,3020,3014,3,1,0,2,0,2295,2289,3,1,0,2,0,344.33,286.57,5452,90264,00150,2,1
54011000002,54,011,000002,3648,3576,40,25,4,0,3,2823,2777,30,12,2,0,2,616.98,683.55,39460,90834,00180,1,3
54011000003,54,011,000003,2825,2756,30,16,4,19,0,2337,2289,19,13,4,12,0,510.76,565.87,39460,90834,00180,1,3
54011000004,54,011,000004,2373,2315,28,18,2,9,1,1941,1901,23,9,2,6,0,424.22,469.98,39460,90834,00180,1,3
54011000005,54,011,000005,3061,2836,170,11,4,38,2,3017,2794,168,11,4,38,2,659.38,730.52,39460,90834,00180,1,3
54011000006,54,011,000006,1523,1430,66,4,2,20,1,1453,1361,65,4,2,20,1,317.56,351.82,39460,90798,00180,1,3
54011000007,54,011,000007,946,838,99,5,3,1,0,870,774,88,4,3,1,0,190.14,210.66,39460,90798,00180,1,3
54011000008,54,011,000008,1243,1172,41,13,3,13,1,1064,1005,34,11,3,11,0,232.54,257.63,39460,90798,00180,1,3
54011000009,54,011,000009,2065,1990,60,3,5,7,0,1558,1516,34,1,4,3,0,340.51,377.25,39460,90764,00180,1,3
54011000010,54,011,000010,2775,2726,20,23,2,4,0,2133,2105,12,10,2,4,0,466.18,516.47,39460,90764,00180,1,3
54011000011,54,011,000011,2167,2121,25,10,4,7,0,1766,1730,20,8,3,5,0,385.97,427.61,39460,90764,00180,1,3
54011000012,54,011,000012,3046,2919,82,28,1,14,2,2393,2310,53,17,1,12,0,523,579.43,39460,90764,00180,1,3
54011000013,54,011,000013,2916,2591,267,29,3,23,3,2414,2186,194,17,2,14,1,527.59,584.51,39460,90798,00180,1,3
54011000014,54,011,000014,2668,1489,1139,19,8,9,4,2114,1221,865,13,6,9,0,462.03,511.87,39460,90798,00180,1,3
54011000015,54,011,000015,3247,2085,1142,10,1,2,7,2524,1724,789,7,1,2,1,551.63,611.15,39460,90798,00180,1,3
54011000016,54,011,000016,1478,1281,185,4,1,7,0,1164,1037,119,3,1,4,0,254.4,281.85,39460,90798,00180,1,3
54011000017,54,011,000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39460,90798,00180,1,3
54011000018,54,011,000018,4504,4237,225,20,6,10,6,3274,3124,120,13,6,10,1,715.55,792.75,39460,90798,00180,1,3
54011000019,54,011,000019,2319,2254,26,9,2,28,0,1852,1806,17,9,2,18,0,404.76,448.43,39460,90834,00180,1,3
