GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
40001009766,40,001,009766,2155,1494,1,40,613,7,0,1492,1100,0,9,377,6,0,301.67,312.89,13757,79100,93588,14820,31860,6,2
40001009767,40,001,009767,4207,3090,1,66,1047,0,3,3018,2329,0,34,655,0,0,610.22,632.91,13757,80450,93796,07680,32400,6,2
40001009768,40,001,009768,4057,1810,0,35,2211,1,0,2816,1407,0,18,1390,1,0,569.37,590.54,13757,70350,93263,19200,06930,6,2
40001009769,40,001,009769,3796,2019,2,65,1705,4,1,2633,1567,0,34,1029,2,1,532.37,552.17,13757,70350,93250,19200,28710,6,2
40001009770,40,001,009770,4206,1758,0,39,2409,0,0,2811,1339,0,20,1452,0,0,568.36,589.5,13757,NA,93250,03870,28710,6,2
40003009556,40,003,009556,1322,1282,0,20,20,0,0,1024,1002,0,10,12,0,0,264.25,382.15,NA,38000,92015,NA,05910,5,6
40003009557,40,003,009557,2171,2050,0,40,76,1,4,1677,1599,0,24,50,1,3,432.75,625.85,NA,13750,90546,NA,07410,5,6
40003009558,40,003,009558,1831,1529,202,37,54,5,4,1527,1238,199,36,46,4,4,272.7,359.94,NA,33450,91313,NA,14190,5,6
40003009559,40,003,009559,1092,1080,0,5,7,0,0,836,831,0,2,3,0,0,149.3,197.06,NA,12000,90429,NA,09330,5,6
40005009876,40,005,009876,1658,1238,178,19,216,7,0,1334,1000,156,16,155,7,0,352,206,14205,70850,92028,11450,29010,4,3
40005009877,40,005,009877,4112,3170,393,20,524,5,0,2988,2423,230,15,316,4,0,774.94,504.74,14205,3300,90481,13830,03360,4,3
40005009878,40,005,009878,3111,2739,3,28,341,0,0,2193,1989,3,13,188,0,0,568.76,370.45,14205,11550,93666,NA,06420,4,3
40005009879,40,005,009879,3897,3178,177,51,486,4,1,2947,2405,173,43,321,4,1,764.31,497.81,14205,NA,90481,17040,03360,4,3
40007009516,40,007,009516,2602,2393,0,174,33,1,1,1822,1708,0,97,17,0,0,276,619,NA,26900,92041,12480,11880,5,6
40007009517,40,007,009517,1705,1679,0,20,4,0,2,1254,1236,0,12,4,0,2,226.92,561.85,NA,NA,92860,12450,03510,5,6
40007009518,40,007,009518,1716,1581,1,106,24,2,2,1277,1207,1,54,12,2,1,231.08,572.15,NA,4750,92860,NA,03750,5,6
40009009661,40,009,009661,6767,5996,274,293,187,14,3,4717,4288,162,159,99,6,3,1211.85,939.74,13905,23500,91014,NA,10740,5,6
40009009662,40,009,009662,5578,5183,77,219,76,23,0,3945,3751,28,112,43,11,0,1013.52,785.94,13905,23500,91014,NA,19800,5,6
40009009663,40,009,009663,664,611,1,48,4,0,0,470,442,0,26,2,0,0,120.75,93.64,13905,12300,90455,NA,06750,5,6
40009009664,40,009,009664,3937,3743,12,145,35,1,1,2985,2873,8,83,20,1,0,766.88,594.68,13905,65700,92756,NA,27060,5,6
40009009665,40,009,009665,1866,1737,11,83,30,4,1,1408,1340,9,42,15,2,0,404,277,13905,24200,91066,NA,11040,5,6
40011009586,40,011,009586,1842,1755,6,44,36,0,1,1408,1359,5,24,19,0,1,333.68,407.45,13905,54150,92392,14640,22650,5,6
40011009587,40,011,009587,1961,1689,2,26,242,2,0,1398,1265,2,14,115,2,0,331.32,404.55,13905,11600,90416,18330,06480,5,6
40011009588,40,011,009588,1567,1457,8,31,71,0,0,1113,1053,5,16,39,0,0,261.69,315.97,13905,31250,93575,14640,31770,5,6
40011009589,40,011,009589,3976,3068,401,119,370,13,5,2808,2287,260,65,184,10,2,660.22,797.18,13905,78950,93575,NA,31770,5,6
40011009590,40,011,009590,2124,1728,66,67,260,3,0,1574,1332,47,33,161,1,0,370.08,446.85,13905,28900,91170,NA,12570,5,6
40013009956,40,013,009956,1241,817,6,14,402,2,0,909,649,5,4,250,1,0,224,135.47,14205,5400,90819,NA,03930,4,3
40013009957,40,013,009957,3045,2518,14,35,472,6,0,2285,1937,13,17,314,4,0,563.09,340.54,14205,10800,92054,NA,06150,4,3
40013009958,40,013,009958,996,790,2,12,192,0,0,741,614,2,4,121,0,0,182.6,110.43,14205,NA,92938,NA,33450,4,3
40013009959,40,013,009959,1547,1163,52,14,318,0,0,1135,913,37,8,177,0,0,279.7,169.15,13925,100,92873,NA,02370,4,3
40013009960,40,013,009960,6198,5366,5,58,752,17,0,4640,4117,5,30,477,11,0,1143.43,691.51,14205,10950,90793,NA,27640,4,3
40013009961,40,013,009961,4824,4196,9,90,509,18,2,3570,3162,6,51,338,12,1,879.75,532.04,14205,22050,90793,NA,10350,4,3
40013009962,40,013,009962,4071,3358,103,75,451,82,2,3277,2742,97,49,315,72,2,807.55,488.38,14205,22050,90793,NA,10350,4,3
40013009963,40,013,009963,1488,1224,4,44,210,5,1,1126,956,2,27,137,3,1,277.48,167.81,14205,22050,90793,NA,10350,4,3
40013009964,40,013,009964,1972,1605,45,27,290,5,0,1458,1227,21,17,188,5,0,359.29,217.29,14205,22050,90793,NA,10350,4,3
40013009965,40,013,009965,2653,2046,2,33,571,0,1,1893,1533,0,19,340,0,1,466.49,282.12,14205,22050,90793,NA,10350,4,3
40013009966,40,013,009966,4054,3457,180,63,349,5,0,2981,2601,134,31,213,2,0,734.61,444.26,13925,16050,90624,NA,08220,4,3
40015009616,40,015,009616,4477,3814,64,222,360,13,4,3304,2917,46,127,205,7,2,800.57,572.1,10825,34750,90247,NA,14610,5,6
40015009617,40,015,009617,2009,1815,9,143,41,1,0,1428,1321,4,82,21,0,0,333,375,10825,36700,91456,02700,15290,5,6
40015009618,40,015,009618,3907,2689,32,265,918,1,2,2853,2132,22,150,546,1,2,691.29,494.01,40025,12050,90442,02700,06630,5,6
40015009619,40,015,009619,1847,1346,33,56,408,4,0,1342,1038,22,36,242,4,0,325.17,232.37,40025,27100,91131,02700,11940,5,6
40015009620,40,015,009620,4094,2968,14,155,951,5,1,2813,2135,9,81,582,5,1,681.6,487.08,40025,30600,90117,24150,03000,5,6
